MAE,Dataset
0.07724018237215201,1043_ada_agnostic
0.02425951201113429,11_balance-scale
0.003923361954300056,12_mfeat-factors
0.15881443725561914,1460_banana
0.004303629209221558,1462_banknote-authentication
0.007178296562302686,1466_cardiotocography
0.03602740149552973,1475_first-order-theorem-proving
0.021209284028070204,1479_hill-valley
0.08638653946306564,1485_madelon
0.021607084742760553,1489_phoneme
0.03202869350163338,1494_qsar-biodeg
0.03303045156749838,1496_ringnorm
0.022850248795577958,1497_wall-robot-navigation
0.012311779728992292,14_mfeat-fourier
0.0009259031364846525,1504_steel-plates-fault
0.003020566928880476,1507_twonorm
0.006611468217322539,1510_wdbc
0.036151194397352884,1526_wall-robot-navigation
0.043044030054483415,1527_volcanoes-a1
0.04818115955197658,1535_volcanoes-b5
0.09995277636907404,1538_volcanoes-d1
0.05223962447937337,1539_volcanoes-d2
0.023127332067330086,1540_volcanoes-d3
0.08233820995342123,1541_volcanoes-d4
0.13608962384001702,1547_autoUniv-au1-1000
0.08937037373492791,1566_hill-valley
0.026878607501591063,1570_wilt
0.019344639494589973,16_mfeat-karhunen
0.004647153198820331,182_satimage
0.0032491016595857626,18_mfeat-morphological
0.01435264549352722,20_mfeat-pixel
0.04003630291942947,22_mfeat-zernike
0.15072574775556374,23_cmc
0.014681372430145301,28_optdigits
0.016676716196436063,292_Australian
0.006517993825264239,294_satellite_image
0.02775094933781803,30_page-blocks
0.006118537602858995,312_scene
0.043812541616491715,333_monks-problems-1
0.2290000757473481,334_monks-problems-2
0.009592633723683115,335_monks-problems-3
0.004318178947494271,36_segment
0.007847206322280231,375_JapaneseVowels
0.05036808935247093,37_diabetes
0.022459342731165604,40474_thyroid-allbp
0.03439965353905084,40475_thyroid-allhyper
0.13066731798679682,40733_yeast
0.008521175525639557,44_spambase
0.0412174066617587,4538_GesturePhaseSegmentationProcessed
0.007650652708335962,458_analcatdata_authorship
0.022078454228115125,54_vehicle
0.011458538434179958,60_waveform-5000
0.3183043043055955,679_rmftsa_sleepdata
0.013152959489526637,AedesQuinx
0.004953082532829158,AedesSex
0.00723728816705978,anuranCalls
0.002918359323234324,ArabicDigit
0.004936994741712662,BNG
0.054661974840625904,click-prediction
0.03416266306007477,cmc
0.0198456132367714,covtype_reduced
0.09018504838221233,default_credit_card_clients
0.14266885602883778,eeg
0.007559368375007608,HTRU
0.05782632835641051,jm1-processed
0.03740601620500008,letter-recognition
0.018675757469633805,magic
0.018875463369574345,mozilla
0.0060924959906752596,namao
0.002328532788480149,occupancy
0.023147190554694125,phoneme
0.00790304967949847,spambase
0.002779991948616807,winetype
0.023501645614780232,2dplanes
0.05285649792131808,balloon
0.006560227858070577,bank8FM
0.1041780750704917,churn
0.0004890008616380143,clean2
0.009018232430834456,cpu_act
0.01385956568288844,delta_ailerons
0.015183281409595201,electricity-normalized
0.010389439681945523,elevators
0.09761548445210036,file79b563a1a18
0.012719767855106711,fried
0.023465246168833498,fri_c2_1000_10
0.2420624731032442,GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1
0.275405153403855,GAMETES_Epistasis_2-Way_20atts_0.4H_EDM-1_1
0.01102284873641909,gina_agnostic
0.018025365344271783,kin8nm
0.20679465176828327,parity5_plus_5
0.0021739730654065223,pendigits
0.019281077253917707,phpGUrE90
0.004843386415510088,phphQEck0
0.014076331061447395,phpMD2hR6
0.3489097988417279,phpmPOD5A
0.009152003454870453,phpV5QYya
0.04155504132337365,pol
0.3833151796291587,pollen
0.03816405370408181,puma32H
0.023886933576710085,puma8NH
0.24667627334946413,quake
0.018579811022060005,space_ga
0.0050581334664681,sylva_prior
0.0036599293766639424,visualizing_soil
0.0183173054469336,wind
