MAE,Dataset
0.04745,1043_ada_agnostic
0.01905,11_balance-scale
0.0059499999999999,12_mfeat-factors
0.0654,1460_banana
0.00515,1462_banknote-authentication
0.0,1466_cardiotocography
0.07735,1475_first-order-theorem-proving
0.04285,1479_hill-valley
0.1413,1485_madelon
0.0487,1489_phoneme
0.0356,1494_qsar-biodeg
0.05055,1496_ringnorm
0.04595,1497_wall-robot-navigation
0.0007,14_mfeat-fourier
0.0,1504_steel-plates-fault
0.00815,1507_twonorm
0.0098,1510_wdbc
0.05785,1526_wall-robot-navigation
0.03405,1527_volcanoes-a1
0.04125,1535_volcanoes-b5
0.06315,1538_volcanoes-d1
0.10385,1539_volcanoes-d2
0.0599,1540_volcanoes-d3
0.06885,1541_volcanoes-d4
0.19875,1547_autoUniv-au1-1000
0.08455,1566_hill-valley
0.03875,1570_wilt
0.0137,16_mfeat-karhunen
0.0079,182_satimage
0.0065,18_mfeat-morphological
0.0151,20_mfeat-pixel
0.0323,22_mfeat-zernike
0.08745,23_cmc
0.01705,28_optdigits
0.02895,292_Australian
0.0113,294_satellite_image
0.03135,30_page-blocks
0.0283999999999999,312_scene
0.01185,333_monks-problems-1
0.07185,334_monks-problems-2
0.0935,335_monks-problems-3
0.01475,36_segment
0.0044,375_JapaneseVowels
0.01325,37_diabetes
0.06795,40474_thyroid-allbp
0.05225,40475_thyroid-allhyper
0.0613,40733_yeast
0.0932,44_spambase
0.0201,4538_GesturePhaseSegmentationProcessed
0.0951999999999999,458_analcatdata_authorship
0.00275,54_vehicle
0.01885,60_waveform-5000
0.0278,679_rmftsa_sleepdata
0.11645,AedesQuinx
0.03915,AedesSex
0.0105,anuranCalls
0.0058499999999999,ArabicDigit
0.0089,BNG
0.263,click-prediction
0.263,cmc
0.01925,covtype_reduced
0.0152,default_credit_card_clients
0.02235,eeg
0.0147,HTRU
0.0497499999999999,jm1-processed
0.0,letter-recognition
0.128,magic
0.0777,mozilla
0.0539,namao
0.01885,occupancy
0.0802,phoneme
0.02085,spambase
0.1413,winetype
0.0494,2dplanes
0.02805,balloon
0.04135,bank8FM
0.04755,churn
0.03305,clean2
0.02605,cpu_act
0.09785,delta_ailerons
0.05045,electricity-normalized
0.0949499999999999,elevators
0.04905,file79b563a1a18
0.0369,fried
0.0163,fri_c2_1000_10
0.00695,GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1
0.2270499999999999,GAMETES_Epistasis_2-Way_20atts_0.4H_EDM-1_1
0.00575,gina_agnostic
0.0554,kin8nm
0.03275,parity5_plus_5
0.0308,pendigits
0.01905,phpGUrE90
0.0141999999999999,phphQEck0
0.447,phpMD2hR6
0.02405,phpmPOD5A
0.263,phpV5QYya
0.1139,pol
0.03895,pollen
0.2658,puma32H
0.03425,puma8NH
0.0204,quake
0.00525,space_ga
0.00095,sylva_prior
0.0268,visualizing_soil
0.004,wind
