MAE,Dataset
0.0554,1043_ada_agnostic.csv
0.021949999999999997,11_balance-scale.csv
0.0086,12_mfeat-factors.csv
0.4052,1460_banana.csv
0.0059,1462_banknote-authentication.csv
0.0,1466_cardiotocography.csv
0.09725,1475_first-order-theorem-proving.csv
0.09945,1479_hill-valley.csv
0.1593,1485_madelon.csv
0.066,1489_phoneme.csv
0.08495000000000001,1494_qsar-biodeg.csv
0.0721,1496_ringnorm.csv
0.059500000000000004,1497_wall-robot-navigation.csv
0.0007000000000000001,14_mfeat-fourier.csv
0.00395,1504_steel-plates-fault.csv
0.01115,1507_twonorm.csv
0.01645,1510_wdbc.csv
0.07165,1526_wall-robot-navigation.csv
0.049400000000000006,1527_volcanoes-a1.csv
0.0414,1535_volcanoes-b5.csv
0.5,1538_volcanoes-d1.csv
0.5,1539_volcanoes-d2.csv
0.060899999999999996,1540_volcanoes-d3.csv
0.06885,1541_volcanoes-d4.csv
0.24245,1547_autoUniv-au1-1000.csv
0.12895,1566_hill-valley.csv
0.03905,1570_wilt.csv
0.017650000000000002,16_mfeat-karhunen.csv
0.0149,182_satimage.csv
0.009000000000000001,18_mfeat-morphological.csv
0.01775,20_mfeat-pixel.csv
0.03685,22_mfeat-zernike.csv
0.11065,23_cmc.csv
0.01705,28_optdigits.csv
0.03105,292_Australian.csv
0.01365,294_satellite_image.csv
0.0444,30_page-blocks.csv
0.0313,312_scene.csv
0.0181,333_monks-problems-1.csv
0.1613,334_monks-problems-2.csv
0.5,335_monks-problems-3.csv
0.014750000000000001,36_segment.csv
0.00885,375_JapaneseVowels.csv
0.01705,37_diabetes.csv
0.0906,40474_thyroid-allbp.csv
0.07205,40475_thyroid-allhyper.csv
0.07890000000000001,40733_yeast.csv
0.09449999999999999,44_spambase.csv
0.02475,4538_GesturePhaseSegmentationProcessed.csv
0.12365,458_analcatdata_authorship.csv
0.0027500000000000003,54_vehicle.csv
0.04100000000000001,60_waveform-5000.csv
0.03975,679_rmftsa_sleepdata.csv
0.5,AedesQuinx.csv
0.0484,AedesSex.csv
0.01275,anuranCalls.csv
0.00875,ArabicDigit.csv
0.011049999999999999,BNG.csv
0.4728,click-prediction.csv
0.4533,cmc.csv
0.0229,covtype_reduced.csv
0.0191,default_credit_card_clients.csv
0.042050000000000004,eeg.csv
0.02205,HTRU.csv
0.0599,jm1-processed.csv
0.00045,letter-recognition.csv
0.145,magic.csv
0.10335000000000001,mozilla.csv
0.06755,namao.csv
0.023850000000000003,occupancy.csv
0.09805,phoneme.csv
0.02355,spambase.csv
0.23315000000000002,winetype.csv
0.06605,2dplanes.csv
0.0369,balloon.csv
0.0748,bank8FM.csv
0.04755,churn.csv
0.0458,clean2.csv
0.0336,cpu_act.csv
0.11699999999999999,delta_ailerons.csv
0.060200000000000004,electricity-normalized.csv
0.10975,elevators.csv
0.0591,file79b563a1a18.csv
0.043550000000000005,fried.csv
0.020100000000000003,fri_c2_1000_10.csv
0.00915,GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1.csv
0.35369999999999996,GAMETES_Epistasis_2-Way_20atts_0.4H_EDM-1_1.csv
0.0060999999999999995,gina_agnostic.csv
0.0673,kin8nm.csv
0.09185,parity5_plus_5.csv
0.053950000000000005,pendigits.csv
0.027549999999999998,phpGUrE90.csv
0.0202,phphQEck0.csv
0.5,phpMD2hR6.csv
0.0365,phpmPOD5A.csv
0.563,phpV5QYya.csv
0.1177,pol.csv
0.049400000000000006,pollen.csv
0.42729999999999996,puma32H.csv
0.0461,puma8NH.csv
0.02505,quake.csv
0.005849999999999999,space_ga.csv
0.0025,sylva_prior.csv
0.03975,visualizing_soil.csv
0.00555,wind.csv
