Method,HitRate,Std
Top1,0.8952380952380953,0.3062463845869243
Top3,0.9523809523809524,0.21295885499998
Top5,0.9809523809523808,0.1366923818514983
CC,0.1714285714285714,0.3768830273792262
ACC,0.3809523809523809,0.4856209060564556
PACC,0.1904761904761904,0.392676726249301
PCC,0.1047619047619047,0.3062463845869244
SMM,0.7142857142857143,0.4517539514526256
HDy,0.4761904761904761,0.4994327848429292
DyS,0.819047619047619,0.3849787225030045
SORD,0.8952380952380953,0.3062463845869243
MS,0.6571428571428571,0.4746642207381757
MAX,0.5333333333333333,0.4988876515698588
X,0.4761904761904761,0.4994327848429292
