dataset_name,alpha,sample_size,real_p,pred_p,abs_error,run_time
1043_ada_agnostic,0.0,100,0.0,0.43,0.43,0.0069813728332519
1043_ada_agnostic,0.0,100,0.0,0.48,0.48,0.0059800148010253
1043_ada_agnostic,0.0,100,0.0,0.41,0.41,0.0029921531677246
1043_ada_agnostic,0.0,100,0.0,0.44,0.44,0.0029933452606201
1043_ada_agnostic,0.0,100,0.0,0.5,0.5,0.0030243396759033
1043_ada_agnostic,0.0,100,0.0,0.47,0.47,0.0031347274780273
1043_ada_agnostic,0.0,100,0.0,0.47,0.47,0.0049865245819091
1043_ada_agnostic,0.0,100,0.0,0.47,0.47,0.0059835910797119
1043_ada_agnostic,0.0,100,0.0,0.44,0.44,0.0030484199523925
1043_ada_agnostic,0.0,100,0.0,0.5,0.5,0.0029623508453369
1043_ada_agnostic,0.05,100,0.05,0.5,0.45,0.0029983520507812
1043_ada_agnostic,0.05,100,0.05,0.46,0.41,0.0049870014190673
1043_ada_agnostic,0.05,100,0.05,0.46,0.41,0.0029921531677246
1043_ada_agnostic,0.05,100,0.05,0.5,0.45,0.0029623508453369
1043_ada_agnostic,0.05,100,0.05,0.48,0.43,0.0050175189971923
1043_ada_agnostic,0.05,100,0.05,0.43,0.38,0.0029611587524414
1043_ada_agnostic,0.05,100,0.05,0.44,0.39,0.0030415058135986
1043_ada_agnostic,0.05,100,0.05,0.49,0.44,0.0029919147491455
1043_ada_agnostic,0.05,100,0.05,0.47,0.42,0.0030081272125244
1043_ada_agnostic,0.05,100,0.05,0.44,0.39,0.003042459487915
1043_ada_agnostic,0.11,100,0.11,0.52,0.41,0.0030062198638916
1043_ada_agnostic,0.11,100,0.11,0.52,0.41,0.003009557723999
1043_ada_agnostic,0.11,100,0.11,0.53,0.42,0.004019021987915
1043_ada_agnostic,0.11,100,0.11,0.51,0.4,0.0030288696289062
1043_ada_agnostic,0.11,100,0.11,0.56,0.45,0.0029921531677246
1043_ada_agnostic,0.11,100,0.11,0.44,0.33,0.0030210018157958
1043_ada_agnostic,0.11,100,0.11,0.47,0.36,0.0051484107971191
1043_ada_agnostic,0.11,100,0.11,0.46,0.35,0.0039560794830322
1043_ada_agnostic,0.11,100,0.11,0.48,0.37,0.0045433044433593
1043_ada_agnostic,0.11,100,0.11,0.52,0.41,0.0029914379119873
1043_ada_agnostic,0.16,100,0.16,0.53,0.37,0.0029897689819335
1043_ada_agnostic,0.16,100,0.16,0.53,0.37,0.0038549900054931
1043_ada_agnostic,0.16,100,0.16,0.56,0.4,0.0029964447021484
1043_ada_agnostic,0.16,100,0.16,0.51,0.35,0.0029914379119873
1043_ada_agnostic,0.16,100,0.16,0.52,0.36,0.0049202442169189
1043_ada_agnostic,0.16,100,0.16,0.54,0.38,0.0051138401031494
1043_ada_agnostic,0.16,100,0.16,0.55,0.39,0.0030450820922851
1043_ada_agnostic,0.16,100,0.16,0.54,0.38,0.0039570331573486
1043_ada_agnostic,0.16,100,0.16,0.55,0.39,0.0029916763305664
1043_ada_agnostic,0.16,100,0.16,0.55,0.39,0.0029919147491455
1043_ada_agnostic,0.21,100,0.21,0.53,0.32,0.0040967464447021
1043_ada_agnostic,0.21,100,0.21,0.54,0.33,0.0030333995819091
1043_ada_agnostic,0.21,100,0.21,0.56,0.35,0.0049538612365722
1043_ada_agnostic,0.21,100,0.21,0.58,0.37,0.0029981136322021
1043_ada_agnostic,0.21,100,0.21,0.53,0.32,0.0029923915863037
1043_ada_agnostic,0.21,100,0.21,0.58,0.37,0.0029916763305664
1043_ada_agnostic,0.21,100,0.21,0.55,0.34,0.0039892196655273
1043_ada_agnostic,0.21,100,0.21,0.54,0.33,0.0039887428283691
1043_ada_agnostic,0.21,100,0.21,0.58,0.37,0.0036776065826416
1043_ada_agnostic,0.21,100,0.21,0.53,0.32,0.0028181076049804
1043_ada_agnostic,0.26,100,0.26,0.52,0.26,0.0030977725982666
1043_ada_agnostic,0.26,100,0.26,0.62,0.36,0.0029923915863037
1043_ada_agnostic,0.26,100,0.26,0.55,0.29,0.0030298233032226
1043_ada_agnostic,0.26,100,0.26,0.54,0.28,0.0040266513824462
1043_ada_agnostic,0.26,100,0.26,0.56,0.3,0.0039889812469482
