MAE,Dataset
0.05115,1043_ada_agnostic.csv
0.25875,1460_banana.csv
0.0072499999999999995,1462_banknote-authentication.csv
0.0,1466_cardiotocography.csv
0.09505000000000001,1475_first-order-theorem-proving.csv
0.051550000000000006,1479_hill-valley.csv
0.1593,1485_madelon.csv
0.1085,1489_phoneme.csv
0.0762,1494_qsar-biodeg.csv
0.06365,1496_ringnorm.csv
0.061500000000000006,1497_wall-robot-navigation.csv
0.0,1504_steel-plates-fault.csv
0.01115,1507_twonorm.csv
0.08505000000000001,1526_wall-robot-navigation.csv
0.09415000000000001,1535_volcanoes-b5.csv
0.5,1538_volcanoes-d1.csv
0.5,1539_volcanoes-d2.csv
0.2511,1540_volcanoes-d3.csv
0.32155,1541_volcanoes-d4.csv
0.12895,1566_hill-valley.csv
0.013049999999999999,182_satimage.csv
0.11215,23_cmc.csv
0.0204,28_optdigits.csv
0.0152,294_satellite_image.csv
0.0444,30_page-blocks.csv
0.0713,312_scene.csv
0.014450000000000001,375_JapaneseVowels.csv
0.024700000000000003,40474_thyroid-allbp.csv
0.08035,40475_thyroid-allhyper.csv
0.09195,40733_yeast.csv
0.38744999999999996,44_spambase.csv
0.02215,4538_GesturePhaseSegmentationProcessed.csv
0.1512,60_waveform-5000.csv
0.0344,679_rmftsa_sleepdata.csv
0.5,AedesQuinx.csv
0.04875,AedesSex.csv
0.0115,anuranCalls.csv
0.01075,ArabicDigit.csv
0.01085,BNG.csv
0.0111,click-prediction.csv
0.4728,cmc.csv
0.5,covtype_reduced.csv
0.022949999999999998,default_credit_card_clients.csv
0.058499999999999996,eeg.csv
0.05,HTRU.csv
0.031200000000000002,jm1-processed.csv
0.02025,letter-recognition.csv
0.0351,magic.csv
0.02105,mozilla.csv
0.19649999999999998,namao.csv
0.0,occupancy.csv
0.4985,phoneme.csv
0.09885,spambase.csv
0.06985000000000001,winetype.csv
0.0265,2dplanes.csv
0.10875,balloon.csv
0.022799999999999997,bank8FM.csv
0.2412,churn.csv
0.06805,clean2.csv
0.0349,cpu_act.csv
0.0101,delta_ailerons.csv
0.0664,electricity-normalized.csv
0.04505,elevators.csv
0.04755,file79b563a1a18.csv
0.04535,fried.csv
0.03165,fri_c2_1000_10.csv
0.0147,GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1.csv
0.1733,GAMETES_Epistasis_2-Way_20atts_0.4H_EDM-1_1.csv
0.020649999999999998,gina_agnostic.csv
0.060200000000000004,kin8nm.csv
0.5,parity5_plus_5.csv
0.0599,pendigits.csv
0.04195,phpGUrE90.csv
0.02145,phphQEck0.csv
0.0076,phpMD2hR6.csv
0.0718,phpmPOD5A.csv
0.5,phpV5QYya.csv
0.00845,pol.csv
0.1012,pollen.csv
0.006750000000000001,puma32H.csv
0.0725,puma8NH.csv
0.0701,quake.csv
0.0287,space_ga.csv
0.06105000000000001,sylva_prior.csv
0.01815,visualizing_soil.csv
0.2871,wind.csv
0.5,abalone.csv
0.24695,ailerons.csv
0.0114,BNG_breast-w.csv
0.0333,file22f0e4a679.csv
0.563,file7b5365fa741c.csv
0.1177,houses.csv
0.049400000000000006,kdd_JapaneseVowels.csv
0.35695,MagicTelescope.csv
0.04535,page-blocks.csv
0.0246,php50jXam.csv
0.0078000000000000005,phplE7q6h.csv
0.00095,phpWfYmlu.csv
0.03995,phpwRjVjk.csv
0.0051,phpxijhaP.csv
