MAE,Dataset
0.06274666666666667,1043_ada_agnostic
0.197035,1460_banana
0.005703333333333328,1462_banknote-authentication
0.004845000000000002,1466_cardiotocography
0.10097166666666668,1475_first-order-theorem-proving
0.09149333333333334,1479_hill-valley
0.12828333333333333,1485_madelon
0.06977000000000001,1489_phoneme
0.06503333333333333,1494_qsar-biodeg
0.06590166666666666,1496_ringnorm
0.055606666666666686,1497_wall-robot-navigation
0.0020249999999999977,1504_steel-plates-fault
0.005753333333333332,1507_twonorm
0.07563666666666666,1526_wall-robot-navigation
0.09047999999999998,1535_volcanoes-b5
0.39453,1538_volcanoes-d1
0.3882900000000001,1539_volcanoes-d2
0.16073666666666664,1540_volcanoes-d3
0.151205,1541_volcanoes-d4
0.12844166666666668,1566_hill-valley
0.010303333333333336,182_satimage
0.1051166666666667,23_cmc
0.017964999999999995,28_optdigits
0.013638333333333332,294_satellite_image
0.07290333333333332,30_page-blocks
0.01329,312_scene
0.024405,375_JapaneseVowels
0.05655000000000002,40474_thyroid-allbp
0.08564833333333334,40475_thyroid-allhyper
0.18242833333333333,40733_yeast
0.028385000000000007,44_spambase
0.17876666666666668,4538_GesturePhaseSegmentationProcessed
0.06560500000000001,60_waveform-5000
0.3872233333333333,679_rmftsa_sleepdata
0.041808333333333336,AedesQuinx
0.010213333333333336,AedesSex
0.01660333333333334,anuranCalls
0.005840000000000008,ArabicDigit
0.009876666666666669,BNG
0.21607666666666667,click-prediction
0.12435666666666668,cmc
0.06844666666666668,covtype_reduced
0.1619066666666667,default_credit_card_clients
0.17737000000000006,eeg
0.02837666666666666,HTRU
0.16290166666666675,jm1-processed
0.22543500000000002,letter-recognition
0.06886833333333332,magic
0.04812666666666666,mozilla
0.017419999999999998,namao
0.010388333333333334,occupancy
0.09623333333333332,phoneme
0.039680000000000014,spambase
0.004356666666666665,winetype
0.03640666666666667,2dplanes
0.05221833333333333,balloon
0.014368333333333342,bank8FM
0.13330833333333333,churn
0.002381666666666669,clean2
0.029188333333333333,cpu_act
0.01632166666666666,delta_ailerons
0.07883166666666665,electricity-normalized
0.033933333333333336,elevators
0.06703333333333335,file79b563a1a18
0.04933,fried
0.034143333333333324,fri_c2_1000_10
0.32745833333333335,GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1
0.40567166666666665,GAMETES_Epistasis_2-Way_20atts_0.4H_EDM-1_1
0.030031666666666682,gina_agnostic
0.05972166666666668,kin8nm
0.353905,parity5_plus_5
0.010573333333333336,pendigits
0.07238666666666665,phpGUrE90
0.017203333333333324,phphQEck0
0.055689999999999996,phpMD2hR6
0.43650500000000003,phpmPOD5A
0.022940000000000006,phpV5QYya
0.030585000000000008,pol
0.3419433333333334,pollen
0.08391666666666665,puma32H
0.040496666666666674,puma8NH
0.29510166666666665,quake
0.052945000000000006,space_ga
0.013641666666666668,sylva_prior
0.0025066666666666636,visualizing_soil
0.029339999999999995,wind
0.04195833333333332,abalone
0.03244333333333334,ailerons
0.0069583333333333355,BNG_breast-w
0.007954999999999999,file22f0e4a679
0.04410500000000002,file7b5365fa741c
0.013626666666666664,houses
0.021983333333333337,kdd_JapaneseVowels
0.07421000000000004,MagicTelescope
0.07436166666666667,page-blocks
0.006413333333333332,php50jXam
0.23083666666666663,phplE7q6h
0.059706666666666665,phpWfYmlu
0.24498166666666668,phpwRjVjk
0.007004999999999995,phpxijhaP
