MAE,Dataset
0.0661238888888889,1043_ada_agnostic
0.16799333333333333,1460_banana
0.006057777777777774,1462_banknote-authentication
0.0029155555555555645,1466_cardiotocography
0.07104555555555557,1475_first-order-theorem-proving
0.09041944444444446,1479_hill-valley
0.08839611111111108,1485_madelon
0.06819277777777777,1489_phoneme
0.049341111111111134,1494_qsar-biodeg
0.05497111111111111,1496_ringnorm
0.04924055555555557,1497_wall-robot-navigation
0.001345555555555561,1504_steel-plates-fault
0.005487222222222224,1507_twonorm
0.04943055555555556,1526_wall-robot-navigation
0.11077666666666669,1535_volcanoes-b5
0.31884777777777773,1538_volcanoes-d1
0.29426444444444433,1539_volcanoes-d2
0.13134833333333332,1540_volcanoes-d3
0.16899499999999998,1541_volcanoes-d4
0.11951166666666667,1566_hill-valley
0.006612777777777783,182_satimage
0.09050388888888888,23_cmc
0.020183888888888887,28_optdigits
0.010651111111111113,294_satellite_image
0.03795111111111111,30_page-blocks
0.009390000000000004,312_scene
0.01366666666666667,375_JapaneseVowels
0.05642722222222222,40474_thyroid-allbp
0.07538500000000002,40475_thyroid-allhyper
0.14921111111111113,40733_yeast
0.021831666666666673,44_spambase
0.11875111111111111,4538_GesturePhaseSegmentationProcessed
0.03104166666666666,60_waveform-5000
0.28822499999999995,679_rmftsa_sleepdata
0.03207888888888889,AedesQuinx
0.008865000000000005,AedesSex
0.014893333333333338,anuranCalls
0.004987777777777788,ArabicDigit
0.007215555555555561,BNG
0.21590944444444443,click-prediction
0.07918555555555555,cmc
0.0506961111111111,covtype_reduced
0.1346638888888889,default_credit_card_clients
0.12672333333333335,eeg
0.02460111111111111,HTRU
0.12240999999999999,jm1-processed
0.23138444444444445,letter-recognition
0.050532777777777774,magic
0.04171611111111111,mozilla
0.015258333333333336,namao
0.007474444444444445,occupancy
0.06422111111111112,phoneme
0.02176444444444445,spambase
0.003012777777777781,winetype
0.033675555555555556,2dplanes
0.03466611111111113,balloon
0.01293111111111112,bank8FM
0.11642111111111111,churn
0.00204888888888889,clean2
0.01774555555555556,cpu_act
0.01834055555555556,delta_ailerons
0.04605388888888888,electricity-normalized
0.02823222222222223,elevators
0.05788722222222222,file79b563a1a18
0.02885444444444445,fried
0.06906388888888887,fri_c2_1000_10
0.3194977777777777,GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1
0.304155,GAMETES_Epistasis_2-Way_20atts_0.4H_EDM-1_1
0.02338388888888889,gina_agnostic
0.041057777777777776,kin8nm
0.22501555555555558,parity5_plus_5
0.006210555555555555,pendigits
0.05160277777777777,phpGUrE90
0.040458888888888885,phphQEck0
0.06664277777777779,phpMD2hR6
0.36010777777777775,phpmPOD5A
0.018077777777777786,phpV5QYya
0.02349833333333334,pol
0.30310166666666666,pollen
0.08656166666666668,puma32H
0.04619944444444447,puma8NH
0.25808166666666665,quake
0.036762222222222224,space_ga
0.010363888888888891,sylva_prior
0.00341944444444444,visualizing_soil
0.023478888888888886,wind
0.03656222222222221,abalone
0.027913333333333335,ailerons
0.006567777777777778,BNG_breast-w
0.005048333333333343,file22f0e4a679
0.0457738888888889,file7b5365fa741c
0.007463333333333332,houses
0.016983333333333336,kdd_JapaneseVowels
0.0420211111111111,MagicTelescope
0.044581666666666665,page-blocks
0.0061461111111111135,php50jXam
0.17010611111111112,phplE7q6h
0.049528888888888886,phpWfYmlu
0.19441666666666663,phpwRjVjk
0.005087222222222218,phpxijhaP
