MAE,Dataset
0.042126666666666666,1043_ada_agnostic
0.13277499999999998,1460_banana
0.00434166666666666,1462_banknote-authentication
0.00022000000000000242,1466_cardiotocography
0.04185666666666668,1475_first-order-theorem-proving
0.03143166666666666,1479_hill-valley
0.07426833333333331,1485_madelon
0.03199,1489_phoneme
0.04985333333333333,1494_qsar-biodeg
0.028064999999999996,1496_ringnorm
0.027778333333333335,1497_wall-robot-navigation
0.0006216666666666678,1504_steel-plates-fault
0.00392,1507_twonorm
0.032903333333333326,1526_wall-robot-navigation
0.07364333333333332,1535_volcanoes-b5
0.3632,1538_volcanoes-d1
0.3285616666666667,1539_volcanoes-d2
0.08597,1540_volcanoes-d3
0.16106333333333334,1541_volcanoes-d4
0.102745,1566_hill-valley
0.004338333333333334,182_satimage
0.03976000000000001,23_cmc
0.015411666666666664,28_optdigits
0.00934,294_satellite_image
0.03245999999999999,30_page-blocks
0.006606666666666662,312_scene
0.00960000000000001,375_JapaneseVowels
0.03503833333333333,40474_thyroid-allbp
0.04249833333333334,40475_thyroid-allhyper
0.10709833333333332,40733_yeast
0.008200000000000002,44_spambase
0.052106666666666676,4538_GesturePhaseSegmentationProcessed
0.01134166666666667,60_waveform-5000
0.2414766666666667,679_rmftsa_sleepdata
0.01807166666666666,AedesQuinx
0.005811666666666673,AedesSex
0.00877333333333334,anuranCalls
0.0038916666666666683,ArabicDigit
0.005361666666666667,BNG
0.13126000000000002,click-prediction
0.04522833333333334,cmc
0.024378333333333335,covtype_reduced
0.04843833333333333,default_credit_card_clients
0.08339666666666665,eeg
0.010886666666666657,HTRU
0.066,jm1-processed
0.11889666666666665,letter-recognition
0.021301666666666656,magic
0.023556666666666656,mozilla
0.008126666666666664,namao
0.0036999999999999976,occupancy
0.03197666666666668,phoneme
0.011445,spambase
0.002756666666666664,winetype
0.01899833333333333,2dplanes
0.031161666666666678,balloon
0.00723333333333333,bank8FM
0.06804999999999999,churn
9.166666666666667e-05,clean2
0.012955000000000005,cpu_act
0.01348333333333333,delta_ailerons
0.021411666666666666,electricity-normalized
0.011295000000000001,elevators
0.035175000000000005,file79b563a1a18
0.017538333333333336,fried
0.026163333333333323,fri_c2_1000_10
0.3478283333333333,GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1
0.28082999999999997,GAMETES_Epistasis_2-Way_20atts_0.4H_EDM-1_1
0.015365000000000007,gina_agnostic
0.021771666666666675,kin8nm
0.18489000000000003,parity5_plus_5
0.0032999999999999948,pendigits
0.050118333333333334,phpGUrE90
0.0044599999999999865,phphQEck0
0.015623333333333335,phpMD2hR6
0.4351566666666665,phpmPOD5A
0.01230333333333334,phpV5QYya
0.01266166666666668,pol
0.2970500000000001,pollen
0.043688333333333336,puma32H
0.03429666666666667,puma8NH
0.2333816666666667,quake
0.024970000000000003,space_ga
0.006773333333333335,sylva_prior
0.00131666666666666,visualizing_soil
0.01761,wind
0.02047166666666665,abalone
0.018656666666666658,ailerons
0.005026666666666667,BNG_breast-w
0.005315000000000003,file22f0e4a679
0.017090000000000004,file7b5365fa741c
0.005454999999999984,houses
0.00689833333333334,kdd_JapaneseVowels
0.02016999999999999,MagicTelescope
0.036308333333333345,page-blocks
0.003804999999999996,php50jXam
0.13320666666666667,phplE7q6h
0.029265000000000003,phpWfYmlu
0.12305333333333333,phpwRjVjk
0.0036749999999999947,phpxijhaP
