MAE,Dataset
0.09570000000000001,1043_ada_agnostic.csv
0.0654,1460_banana.csv
0.00845,1462_banknote-authentication.csv
0.01665,1466_cardiotocography.csv
0.086,1475_first-order-theorem-proving.csv
0.048600000000000004,1479_hill-valley.csv
0.1579,1485_madelon.csv
0.06165,1489_phoneme.csv
0.0356,1494_qsar-biodeg.csv
0.06875,1496_ringnorm.csv
0.055600000000000004,1497_wall-robot-navigation.csv
0.008150000000000001,1504_steel-plates-fault.csv
0.0083,1507_twonorm.csv
0.05785,1526_wall-robot-navigation.csv
0.21065,1535_volcanoes-b5.csv
0.5,1538_volcanoes-d1.csv
0.5,1539_volcanoes-d2.csv
0.11085,1540_volcanoes-d3.csv
0.17184999999999997,1541_volcanoes-d4.csv
0.09179999999999999,1566_hill-valley.csv
0.014199999999999999,182_satimage.csv
0.1659,23_cmc.csv
0.0416,28_optdigits.csv
0.01295,294_satellite_image.csv
0.042249999999999996,30_page-blocks.csv
0.05465,312_scene.csv
0.01315,375_JapaneseVowels.csv
0.0346,40474_thyroid-allbp.csv
0.054450000000000005,40475_thyroid-allhyper.csv
0.0613,40733_yeast.csv
0.1164,44_spambase.csv
0.024249999999999997,4538_GesturePhaseSegmentationProcessed.csv
0.1588,60_waveform-5000.csv
0.0365,679_rmftsa_sleepdata.csv
0.5,AedesQuinx.csv
0.051100000000000007,AedesSex.csv
0.01365,anuranCalls.csv
0.0062,ArabicDigit.csv
0.010700000000000001,BNG.csv
0.0088,click-prediction.csv
0.4718,cmc.csv
0.5,covtype_reduced.csv
0.0352,default_credit_card_clients.csv
0.0806,eeg.csv
0.04650000000000001,HTRU.csv
0.029050000000000003,jm1-processed.csv
0.01845,letter-recognition.csv
0.0305,magic.csv
0.015050000000000001,mozilla.csv
0.08155,namao.csv
0.01405,occupancy.csv
0.128,phoneme.csv
0.17065000000000002,spambase.csv
0.0664,winetype.csv
0.0258,2dplanes.csv
0.1361,balloon.csv
0.02645,bank8FM.csv
0.14425000000000002,churn.csv
0.0632,clean2.csv
0.03665,cpu_act.csv
0.00825,delta_ailerons.csv
0.043,electricity-normalized.csv
0.06555,elevators.csv
0.04775,file79b563a1a18.csv
0.042199999999999994,fried.csv
0.02955,fri_c2_1000_10.csv
0.0242,GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1.csv
0.1496,GAMETES_Epistasis_2-Way_20atts_0.4H_EDM-1_1.csv
0.03325,gina_agnostic.csv
0.0562,kin8nm.csv
0.09494999999999999,parity5_plus_5.csv
0.08355,pendigits.csv
0.04305,phpGUrE90.csv
0.02205,phphQEck0.csv
0.01655,phpMD2hR6.csv
0.055,phpmPOD5A.csv
0.5,phpV5QYya.csv
0.022000000000000002,pol.csv
0.07605,pollen.csv
0.0087,puma32H.csv
0.03275,puma8NH.csv
0.04,quake.csv
0.01905,space_ga.csv
0.07100000000000001,sylva_prior.csv
0.0187,visualizing_soil.csv
0.18655000000000002,wind.csv
0.5,abalone.csv
0.061450000000000005,ailerons.csv
0.00865,BNG_breast-w.csv
0.03525,file22f0e4a679.csv
0.3979,file7b5365fa741c.csv
0.12135,houses.csv
0.04905,kdd_JapaneseVowels.csv
0.28565,MagicTelescope.csv
0.0379,page-blocks.csv
0.025,php50jXam.csv
0.02875,phplE7q6h.csv
0.0035000000000000005,phpWfYmlu.csv
0.03245,phpwRjVjk.csv
0.00615,phpxijhaP.csv
