MAE,Dataset
0.052199999999999996,1043_ada_agnostic.csv
0.3043,1460_banana.csv
0.00555,1462_banknote-authentication.csv
0.0,1466_cardiotocography.csv
0.07735,1475_first-order-theorem-proving.csv
0.0575,1479_hill-valley.csv
0.15915,1485_madelon.csv
0.07475,1489_phoneme.csv
0.05625,1494_qsar-biodeg.csv
0.0572,1496_ringnorm.csv
0.049400000000000006,1497_wall-robot-navigation.csv
0.0,1504_steel-plates-fault.csv
0.00885,1507_twonorm.csv
0.09140000000000001,1526_wall-robot-navigation.csv
0.08865,1535_volcanoes-b5.csv
0.5,1538_volcanoes-d1.csv
0.5,1539_volcanoes-d2.csv
0.2506,1540_volcanoes-d3.csv
0.24745,1541_volcanoes-d4.csv
0.08900000000000001,1566_hill-valley.csv
0.0103,182_satimage.csv
0.08745000000000001,23_cmc.csv
0.01725,28_optdigits.csv
0.0127,294_satellite_image.csv
0.03485,30_page-blocks.csv
0.06415,312_scene.csv
0.01355,375_JapaneseVowels.csv
0.01935,40474_thyroid-allbp.csv
0.05355000000000001,40475_thyroid-allhyper.csv
0.06335,40733_yeast.csv
0.2579,44_spambase.csv
0.0217,4538_GesturePhaseSegmentationProcessed.csv
0.11895,60_waveform-5000.csv
0.030950000000000002,679_rmftsa_sleepdata.csv
0.5,AedesQuinx.csv
0.039900000000000005,AedesSex.csv
0.011200000000000002,anuranCalls.csv
0.00795,ArabicDigit.csv
0.00935,BNG.csv
0.00935,click-prediction.csv
0.4728,cmc.csv
0.5,covtype_reduced.csv
0.02265,default_credit_card_clients.csv
0.0471,eeg.csv
0.0384,HTRU.csv
0.02735,jm1-processed.csv
0.01785,letter-recognition.csv
0.02235,magic.csv
0.0173,mozilla.csv
0.14679999999999999,namao.csv
0.0,occupancy.csv
0.4985,phoneme.csv
0.07780000000000001,spambase.csv
0.056799999999999996,winetype.csv
0.02105,2dplanes.csv
0.09925,balloon.csv
0.0223,bank8FM.csv
0.1722,churn.csv
0.05745,clean2.csv
0.029449999999999997,cpu_act.csv
0.0083,delta_ailerons.csv
0.04565,electricity-normalized.csv
0.0346,elevators.csv
0.04755,file79b563a1a18.csv
0.0359,fried.csv
0.0288,fri_c2_1000_10.csv
0.014750000000000001,GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1.csv
0.1389,GAMETES_Epistasis_2-Way_20atts_0.4H_EDM-1_1.csv
0.01665,gina_agnostic.csv
0.052250000000000005,kin8nm.csv
0.5,parity5_plus_5.csv
0.04905,pendigits.csv
0.04020000000000001,phpGUrE90.csv
0.01895,phphQEck0.csv
0.0069500000000000004,phpMD2hR6.csv
0.06565,phpmPOD5A.csv
0.5,phpV5QYya.csv
0.0064,pol.csv
0.07655,pollen.csv
0.005600000000000001,puma32H.csv
0.04865,puma8NH.csv
0.046450000000000005,quake.csv
0.02245,space_ga.csv
0.053200000000000004,sylva_prior.csv
0.016200000000000003,visualizing_soil.csv
0.25635,wind.csv
0.5,abalone.csv
0.29469999999999996,ailerons.csv
0.00945,BNG_breast-w.csv
0.03195,file22f0e4a679.csv
0.5015,file7b5365fa741c.csv
0.12990000000000002,houses.csv
0.0478,kdd_JapaneseVowels.csv
0.37829999999999997,MagicTelescope.csv
0.03585,page-blocks.csv
0.02085,php50jXam.csv
0.00705,phplE7q6h.csv
0.0015,phpWfYmlu.csv
0.03025,phpwRjVjk.csv
0.0051,phpxijhaP.csv
