MAE,Dataset
0.06924999999999999,1043_ada_agnostic.csv
0.5,1460_banana.csv
0.0165,1462_banknote-authentication.csv
0.003,1466_cardiotocography.csv
0.1727,1475_first-order-theorem-proving.csv
0.4239,1479_hill-valley.csv
0.19690000000000002,1485_madelon.csv
0.12925,1489_phoneme.csv
0.0802,1494_qsar-biodeg.csv
0.1509,1496_ringnorm.csv
0.11689999999999999,1497_wall-robot-navigation.csv
0.0029,1504_steel-plates-fault.csv
0.011200000000000002,1507_twonorm.csv
0.1422,1526_wall-robot-navigation.csv
0.06105000000000001,1535_volcanoes-b5.csv
0.3969,1538_volcanoes-d1.csv
0.37075,1539_volcanoes-d2.csv
0.5,1540_volcanoes-d3.csv
0.3795,1541_volcanoes-d4.csv
0.2181,1566_hill-valley.csv
0.011500000000000002,182_satimage.csv
0.35105,23_cmc.csv
0.0194,28_optdigits.csv
0.0173,294_satellite_image.csv
0.0622,30_page-blocks.csv
0.06335,312_scene.csv
0.02035,375_JapaneseVowels.csv
0.021150000000000002,40474_thyroid-allbp.csv
0.1255,40475_thyroid-allhyper.csv
0.12990000000000002,40733_yeast.csv
0.48515,44_spambase.csv
0.0907,4538_GesturePhaseSegmentationProcessed.csv
0.5,60_waveform-5000.csv
0.15535,679_rmftsa_sleepdata.csv
0.26285000000000003,AedesQuinx.csv
0.09154999999999999,AedesSex.csv
0.020950000000000003,anuranCalls.csv
0.012450000000000001,ArabicDigit.csv
0.0182,BNG.csv
0.016300000000000002,click-prediction.csv
0.42424999999999996,cmc.csv
0.263,covtype_reduced.csv
0.0236,default_credit_card_clients.csv
0.12300000000000001,eeg.csv
0.0779,HTRU.csv
0.05065,jm1-processed.csv
0.026949999999999998,letter-recognition.csv
0.057999999999999996,magic.csv
0.02235,mozilla.csv
0.4395,namao.csv
0.0039000000000000003,occupancy.csv
0.35479999999999995,phoneme.csv
0.34635,spambase.csv
0.1103,winetype.csv
0.0319,2dplanes.csv
0.43905,balloon.csv
0.0337,bank8FM.csv
0.5,churn.csv
0.18515,clean2.csv
0.0557,cpu_act.csv
0.01,delta_ailerons.csv
0.1516,electricity-normalized.csv
0.061450000000000005,elevators.csv
0.21539999999999998,file79b563a1a18.csv
0.0635,fried.csv
0.056299999999999996,fri_c2_1000_10.csv
0.01985,GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1.csv
0.5,GAMETES_Epistasis_2-Way_20atts_0.4H_EDM-1_1.csv
0.02005,gina_agnostic.csv
0.10550000000000001,kin8nm.csv
0.3243,parity5_plus_5.csv
0.128,pendigits.csv
0.1323,phpGUrE90.csv
0.0264,phphQEck0.csv
0.027450000000000002,phpMD2hR6.csv
0.0643,phpmPOD5A.csv
0.2602,phpV5QYya.csv
0.0169,pol.csv
0.1285,pollen.csv
0.015449999999999998,puma32H.csv
0.06895000000000001,puma8NH.csv
0.28495000000000004,quake.csv
0.03475,space_ga.csv
0.14615,sylva_prior.csv
0.1722,visualizing_soil.csv
0.5,wind.csv
0.447,abalone.csv
0.5,ailerons.csv
0.011699999999999999,BNG_breast-w.csv
0.0668,file22f0e4a679.csv
0.5,file7b5365fa741c.csv
0.1925,houses.csv
0.1291,kdd_JapaneseVowels.csv
0.5,MagicTelescope.csv
0.06709999999999999,page-blocks.csv
0.0879,php50jXam.csv
0.03145,phplE7q6h.csv
0.0116,phpWfYmlu.csv
0.05195,phpwRjVjk.csv
0.0074,phpxijhaP.csv
