MAE,Dataset
0.2022,1043_ada_agnostic.csv
0.26495,1460_banana.csv
0.02035,1462_banknote-authentication.csv
0.003,1466_cardiotocography.csv
0.21675,1475_first-order-theorem-proving.csv
0.20149999999999998,1479_hill-valley.csv
0.25105,1485_madelon.csv
0.23125,1489_phoneme.csv
0.14595,1494_qsar-biodeg.csv
0.1834,1496_ringnorm.csv
0.1875,1497_wall-robot-navigation.csv
0.0029,1504_steel-plates-fault.csv
0.01955,1507_twonorm.csv
0.22094999999999998,1526_wall-robot-navigation.csv
0.32420000000000004,1535_volcanoes-b5.csv
0.3969,1538_volcanoes-d1.csv
0.37075,1539_volcanoes-d2.csv
0.3775,1540_volcanoes-d3.csv
0.3909,1541_volcanoes-d4.csv
0.21170000000000003,1566_hill-valley.csv
0.02145,182_satimage.csv
0.23295000000000002,23_cmc.csv
0.055,28_optdigits.csv
0.02495,294_satellite_image.csv
0.1241,30_page-blocks.csv
0.15755,312_scene.csv
0.04445,375_JapaneseVowels.csv
0.06905,40474_thyroid-allbp.csv
0.19115,40475_thyroid-allhyper.csv
0.1948,40733_yeast.csv
0.25984999999999997,44_spambase.csv
0.12135,4538_GesturePhaseSegmentationProcessed.csv
0.27085000000000004,60_waveform-5000.csv
0.12765,679_rmftsa_sleepdata.csv
0.26285000000000003,AedesQuinx.csv
0.14785,AedesSex.csv
0.02705,anuranCalls.csv
0.01665,ArabicDigit.csv
0.02315,BNG.csv
0.0231,click-prediction.csv
0.263,cmc.csv
0.263,covtype_reduced.csv
0.09390000000000001,default_credit_card_clients.csv
0.18145,eeg.csv
0.15234999999999999,HTRU.csv
0.0956,jm1-processed.csv
0.05195,letter-recognition.csv
0.10654999999999999,magic.csv
0.0493,mozilla.csv
0.28455,namao.csv
0.0039000000000000003,occupancy.csv
0.35479999999999995,phoneme.csv
0.23235,spambase.csv
0.18015,winetype.csv
0.07395,2dplanes.csv
0.2901,balloon.csv
0.06265,bank8FM.csv
0.25525,churn.csv
0.18395,clean2.csv
0.10800000000000001,cpu_act.csv
0.024,delta_ailerons.csv
0.16469999999999999,electricity-normalized.csv
0.18285,elevators.csv
0.22625,file79b563a1a18.csv
0.1255,fried.csv
0.10785,fri_c2_1000_10.csv
0.029750000000000002,GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1.csv
0.315,GAMETES_Epistasis_2-Way_20atts_0.4H_EDM-1_1.csv
0.06985000000000001,gina_agnostic.csv
0.18725000000000003,kin8nm.csv
0.3243,parity5_plus_5.csv
0.1844,pendigits.csv
0.17800000000000002,phpGUrE90.csv
0.05775,phphQEck0.csv
0.0258,phpMD2hR6.csv
0.15675,phpmPOD5A.csv
0.2602,phpV5QYya.csv
0.030600000000000002,pol.csv
0.23115,pollen.csv
0.01915,puma32H.csv
0.13775,puma8NH.csv
0.15345,quake.csv
0.0622,space_ga.csv
0.18345,sylva_prior.csv
0.14865,visualizing_soil.csv
0.2594,wind.csv
0.447,abalone.csv
0.26425,ailerons.csv
0.01975,BNG_breast-w.csv
0.12015,file22f0e4a679.csv
0.263,file7b5365fa741c.csv
0.24165,houses.csv
0.1739,kdd_JapaneseVowels.csv
0.26580000000000004,MagicTelescope.csv
0.12795,page-blocks.csv
0.11904999999999999,php50jXam.csv
0.04535,phplE7q6h.csv
0.0116,phpWfYmlu.csv
0.10875,phpwRjVjk.csv
0.010549999999999999,phpxijhaP.csv
