MAE,Dataset
0.03505000000000001,1043_ada_agnostic
0.12505000000000002,1460_banana
0.003049999999999993,1462_banknote-authentication
0.0,1466_cardiotocography
0.03650000000000002,1475_first-order-theorem-proving
0.0199,1479_hill-valley
0.06754999999999999,1485_madelon
0.021999999999999992,1489_phoneme
0.053250000000000006,1494_qsar-biodeg
0.02514999999999999,1496_ringnorm
0.018550000000000004,1497_wall-robot-navigation
0.00030000000000000024,1504_steel-plates-fault
0.0030499999999999985,1507_twonorm
0.03304999999999998,1526_wall-robot-navigation
0.06494999999999998,1535_volcanoes-b5
0.022850000000000002,1538_volcanoes-d1
0.09905,1539_volcanoes-d2
0.021200000000000004,1540_volcanoes-d3
0.07375000000000001,1541_volcanoes-d4
0.09774999999999998,1566_hill-valley
0.003199999999999992,182_satimage
0.18395,23_cmc
0.012699999999999994,28_optdigits
0.006600000000000006,294_satellite_image
0.01935,30_page-blocks
0.008099999999999987,312_scene
0.005700000000000006,375_JapaneseVowels
0.020450000000000006,40474_thyroid-allbp
0.03320000000000001,40475_thyroid-allhyper
0.058150000000000014,40733_yeast
0.008900000000000009,44_spambase
0.041400000000000006,4538_GesturePhaseSegmentationProcessed
0.01109999999999999,60_waveform-5000
0.5,679_rmftsa_sleepdata
0.013799999999999988,AedesQuinx
0.005100000000000001,AedesSex
0.007200000000000012,anuranCalls
0.0035000000000000113,ArabicDigit
0.005099999999999993,BNG
0.49850000000000005,click-prediction
0.028600000000000007,cmc
0.02035,covtype_reduced
0.038099999999999995,default_credit_card_clients
0.06735,eeg
0.007599999999999996,HTRU
0.05735000000000001,jm1-processed
0.04134999999999999,letter-recognition
0.01795,magic
0.014499999999999985,mozilla
0.006750000000000003,namao
0.0027999999999999995,occupancy
0.022300000000000004,phoneme
0.007599999999999996,spambase
0.003199999999999996,winetype
0.0142,2dplanes
0.019700000000000016,balloon
0.006349999999999992,bank8FM
0.04185,churn
0.0,clean2
0.008749999999999999,cpu_act
0.013399999999999981,delta_ailerons
0.02024999999999999,electricity-normalized
0.01260000000000001,elevators
0.02785000000000002,file79b563a1a18
0.0124,fried
0.021349999999999994,fri_c2_1000_10
0.23125000000000004,GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1
0.306,GAMETES_Epistasis_2-Way_20atts_0.4H_EDM-1_1
0.010849999999999981,gina_agnostic
0.01670000000000002,kin8nm
0.5,parity5_plus_5
0.0024499999999999965,pendigits
0.04924999999999999,phpGUrE90
0.004599999999999993,phphQEck0
0.0174,phpMD2hR6
0.5,phpmPOD5A
0.009450000000000014,phpV5QYya
0.10310000000000001,pol
0.346,pollen
0.03860000000000002,puma32H
0.02515,puma8NH
0.22825,quake
0.01965,space_ga
0.03115000000000001,sylva_prior
0.0008499999999999868,visualizing_soil
0.011650000000000008,wind
0.019699999999999978,abalone
0.013850000000000005,ailerons
0.003599999999999998,BNG_breast-w
0.00595,file22f0e4a679
0.1706,file7b5365fa741c
0.005049999999999976,houses
0.00675000000000001,kdd_JapaneseVowels
0.017599999999999998,MagicTelescope
0.053750000000000006,page-blocks
0.00335,php50jXam
0.11239999999999999,phplE7q6h
0.025800000000000007,phpWfYmlu
0.04710000000000002,phpwRjVjk
0.0027499999999999873,phpxijhaP
