MAE,Dataset
0.03485731634359724,1043_ada_agnostic
0.14248791307091693,1460_banana
0.0028245166477332156,1462_banknote-authentication
0.0010504511210449661,1466_cardiotocography
0.03462010299833375,1475_first-order-theorem-proving
0.019805510760972943,1479_hill-valley
0.0629095029252595,1485_madelon
0.027092092077717077,1489_phoneme
0.05007621391903205,1494_qsar-biodeg
0.031205499649034647,1496_ringnorm
0.01977712037308403,1497_wall-robot-navigation
0.0009320411011430593,1504_steel-plates-fault
0.003075980052270667,1507_twonorm
0.03201002551670976,1526_wall-robot-navigation
0.05354147077545788,1535_volcanoes-b5
0.08709031106670047,1538_volcanoes-d1
0.04688057671386127,1539_volcanoes-d2
0.022703622062572964,1540_volcanoes-d3
0.07998824640669913,1541_volcanoes-d4
0.08845994899583474,1566_hill-valley
0.003986977901750977,182_satimage
0.1547636762012506,23_cmc
0.013666135949415684,28_optdigits
0.006810422733281807,294_satellite_image
0.028247033079338457,30_page-blocks
0.00702561542469062,312_scene
0.006031458704848537,375_JapaneseVowels
0.017226918443515565,40474_thyroid-allbp
0.03577965852427997,40475_thyroid-allhyper
0.05360511675603996,40733_yeast
0.00917950475081494,44_spambase
0.057903103012880285,4538_GesturePhaseSegmentationProcessed
0.011275225358443008,60_waveform-5000
0.3034629049110439,679_rmftsa_sleepdata
0.013596223339378858,AedesQuinx
0.004989280427627746,AedesSex
0.007438633786022402,anuranCalls
0.0041999158704829065,ArabicDigit
0.004874270764751793,BNG
0.3243989029689398,click-prediction
0.028456069982428167,cmc
0.019835865714438745,covtype_reduced
0.03798243640966078,default_credit_card_clients
0.07029478823629545,eeg
0.007428476884790607,HTRU
0.056360493899452545,jm1-processed
0.03664038457175589,letter-recognition
0.018978581959043374,magic
0.013963228492885746,mozilla
0.0062860923572937155,namao
0.0028245937603070827,occupancy
0.030178461470469514,phoneme
0.007906328478005587,spambase
0.003220054403117493,winetype
0.02159978090066558,2dplanes
0.03939929640641796,balloon
0.0061071585042415,bank8FM
0.06843748139708214,churn
0.00021560508497938253,clean2
0.008493915221139823,cpu_act
0.013165325378000279,delta_ailerons
0.020160709486566036,electricity-normalized
0.015330662614214879,elevators
0.05450318428043911,file79b563a1a18
0.012400742866671444,fried
0.023472882542921892,fri_c2_1000_10
0.2558697189475078,GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1
0.2978865930896105,GAMETES_Epistasis_2-Way_20atts_0.4H_EDM-1_1
0.01096022539211162,gina_agnostic
0.018050799173181066,kin8nm
0.3579133317917408,parity5_plus_5
0.002507607462973752,pendigits
0.04313433923353282,phpGUrE90
0.004362849995460033,phphQEck0
0.015072723260311463,phpMD2hR6
0.34180033272795757,phpmPOD5A
0.009185990367133207,phpV5QYya
0.08616820152118154,pol
0.34217253437916606,pollen
0.03796824794007672,puma32H
0.025755013442476125,puma8NH
0.21541004382560908,quake
0.01822244116939366,space_ga
0.030359823341334625,sylva_prior
0.0009052161244591442,visualizing_soil
0.01103122080894776,wind
0.043333551105801525,abalone
0.012581926324729454,ailerons
0.0035384128399980953,BNG_breast-w
0.005666102462716707,file22f0e4a679
0.13323584754431442,file7b5365fa741c
0.006920318174047613,houses
0.006258430418740394,kdd_JapaneseVowels
0.018034337333707566,MagicTelescope
0.043347218411347296,page-blocks
0.002942796688507163,php50jXam
0.11445326693060687,phplE7q6h
0.025811054118115257,phpWfYmlu
0.04994100019809233,phpwRjVjk
0.002751603928043472,phpxijhaP
