MAE,Dataset
0.03791000000000001,1043_ada_agnostic
0.10867999999999997,1460_banana
0.003019999999999987,1462_banknote-authentication
0.000599999999999995,1466_cardiotocography
0.0339,1475_first-order-theorem-proving
0.02011999999999998,1479_hill-valley
0.060469999999999954,1485_madelon
0.02383,1489_phoneme
0.03997,1494_qsar-biodeg
0.02829000000000001,1496_ringnorm
0.02026000000000001,1497_wall-robot-navigation
0.0007499999999999918,1504_steel-plates-fault
0.002629999999999998,1507_twonorm
0.028030000000000017,1526_wall-robot-navigation
0.07223999999999997,1535_volcanoes-b5
0.17068,1538_volcanoes-d1
0.1423,1539_volcanoes-d2
0.02325000000000002,1540_volcanoes-d3
0.09747999999999998,1541_volcanoes-d4
0.09344000000000001,1566_hill-valley
0.003630000000000014,182_satimage
0.12288000000000002,23_cmc
0.011879999999999977,28_optdigits
0.006709999999999996,294_satellite_image
0.04079999999999999,30_page-blocks
0.007299999999999994,312_scene
0.007400000000000015,375_JapaneseVowels
0.019640000000000005,40474_thyroid-allbp
0.037790000000000004,40475_thyroid-allhyper
0.09461,40733_yeast
0.009110000000000009,44_spambase
0.049170000000000005,4538_GesturePhaseSegmentationProcessed
0.012920000000000004,60_waveform-5000
0.25733000000000006,679_rmftsa_sleepdata
0.014129999999999986,AedesQuinx
0.006610000000000019,AedesSex
0.006940000000000002,anuranCalls
0.0036399999999999905,ArabicDigit
0.00533999999999998,BNG
0.20406,click-prediction
0.03035,cmc
0.021159999999999995,covtype_reduced
0.051160000000000004,default_credit_card_clients
0.07345,eeg
0.006669999999999994,HTRU
0.05807000000000001,jm1-processed
0.11754,letter-recognition
0.02034999999999998,magic
0.015749999999999997,mozilla
0.007079999999999992,namao
0.0027899999999999917,occupancy
0.02472,phoneme
0.007719999999999988,spambase
0.002579999999999984,winetype
0.05759000000000001,2dplanes
0.04073000000000002,balloon
0.006579999999999989,bank8FM
0.08185,churn
0.0028899999999999993,clean2
0.009969999999999988,cpu_act
0.013580000000000004,delta_ailerons
0.019100000000000016,electricity-normalized
0.012319999999999989,elevators
0.07182999999999999,file79b563a1a18
0.011539999999999998,fried
0.025359999999999994,fri_c2_1000_10
0.29145,GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1
0.31387,GAMETES_Epistasis_2-Way_20atts_0.4H_EDM-1_1
0.01084999999999999,gina_agnostic
0.017649999999999992,kin8nm
0.24949000000000005,parity5_plus_5
0.0020900000000000016,pendigits
0.05444999999999998,phpGUrE90
0.03142000000000003,phphQEck0
0.011869999999999997,phpMD2hR6
0.30469,phpmPOD5A
0.010570000000000006,phpV5QYya
0.04875000000000001,pol
0.35089,pollen
0.038189999999999995,puma32H
0.024890000000000002,puma8NH
0.22495000000000004,quake
0.02097999999999998,space_ga
0.020549999999999992,sylva_prior
0.0009299999999999918,visualizing_soil
0.012779999999999972,wind
0.05563,abalone
0.018740000000000007,ailerons
0.0038099999999999905,BNG_breast-w
0.005340000000000002,file22f0e4a679
0.07367000000000001,file7b5365fa741c
0.008760000000000016,houses
0.007749999999999998,kdd_JapaneseVowels
0.02658,MagicTelescope
0.03284000000000001,page-blocks
0.0031399999999999913,php50jXam
0.12578,phplE7q6h
0.029119999999999997,phpWfYmlu
0.08292000000000004,phpwRjVjk
0.0026299999999999874,phpxijhaP
