MAE,Dataset
0.04745,1043_ada_agnostic
0.0654,1460_banana
0.00515,1462_banknote-authentication
0.0,1466_cardiotocography
0.07735,1475_first-order-theorem-proving
0.04285,1479_hill-valley
0.1413,1485_madelon
0.0487,1489_phoneme
0.0356,1494_qsar-biodeg
0.05055,1496_ringnorm
0.04595,1497_wall-robot-navigation
0.0,1504_steel-plates-fault
0.00815,1507_twonorm
0.05785,1526_wall-robot-navigation
0.04125,1535_volcanoes-b5
0.06315,1538_volcanoes-d1
0.10385,1539_volcanoes-d2
0.0599,1540_volcanoes-d3
0.06885,1541_volcanoes-d4
0.08455,1566_hill-valley
0.0079,182_satimage
0.08745,23_cmc
0.01705,28_optdigits
0.0113,294_satellite_image
0.03135,30_page-blocks
0.0283999999999999,312_scene
0.01185,375_JapaneseVowels
0.01325,40474_thyroid-allbp
0.05225,40475_thyroid-allhyper
0.0613,40733_yeast
0.0932,44_spambase
0.0201,4538_GesturePhaseSegmentationProcessed
0.0951999999999999,60_waveform-5000
0.0278,679_rmftsa_sleepdata
0.11645,AedesQuinx
0.03915,AedesSex
0.0105,anuranCalls
0.0058499999999999,ArabicDigit
0.0089,BNG
0.00835,click-prediction
0.263,cmc
0.263,covtype_reduced
0.01925,default_credit_card_clients
0.0467999999999999,eeg
0.038,HTRU
0.02555,jm1-processed
0.0152,letter-recognition
0.02235,magic
0.0147,mozilla
0.0497499999999999,namao
0.0,occupancy
0.128,phoneme
0.0777,spambase
0.0539,winetype
0.01885,2dplanes
0.0802,balloon
0.02085,bank8FM
0.1413,churn
0.0494,clean2
0.02805,cpu_act
0.0067,delta_ailerons
0.04135,electricity-normalized
0.03285,elevators
0.04755,file79b563a1a18
0.03305,fried
0.02605,fri_c2_1000_10
0.0109,GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1
0.09785,GAMETES_Epistasis_2-Way_20atts_0.4H_EDM-1_1
0.0131,gina_agnostic
0.05045,kin8nm
0.0949499999999999,parity5_plus_5
0.04905,pendigits
0.0369,phpGUrE90
0.0163,phphQEck0
0.00695,phpMD2hR6
0.02725,phpmPOD5A
0.2270499999999999,phpV5QYya
0.00575,pol
0.0554,pollen
0.0042,puma32H
0.03275,puma8NH
0.0308,quake
0.01905,space_ga
0.0515,sylva_prior
0.0141999999999999,visualizing_soil
0.18135,wind
0.447,abalone
0.06145,ailerons
0.00795,BNG_breast-w
0.02405,file22f0e4a679
0.263,file7b5365fa741c
0.1139,houses
0.03895,kdd_JapaneseVowels
0.2658,MagicTelescope
0.03425,page-blocks
0.0204,php50jXam
0.00525,phplE7q6h
0.00095,phpWfYmlu
0.0268,phpwRjVjk
0.004,phpxijhaP
