dataset,CC,ACC,PACC,PCC,SMM,HDy,DyS,SORD,MS,MAX,X
1043_ada_agnostic,0,1,1,0,1,0,1,1,1,0,1
1460_banana,0,0,0,0,0,1,0,1,0,0,0
1462_banknote-authentication,0,0,0,0,0,0,1,1,1,0,1
1466_cardiotocography,1,1,0,0,0,0,1,1,1,1,1
1475_first-order-theorem-proving,0,0,0,0,1,1,1,1,1,0,0
1479_hill-valley,0,1,0,0,0,1,1,1,0,0,0
1485_madelon,1,1,1,1,1,1,1,1,1,1,1
1489_phoneme,0,0,0,0,1,1,1,1,0,0,0
1494_qsar-biodeg,0,0,0,0,1,1,1,0,1,0,0
1496_ringnorm,0,1,0,0,1,0,1,1,1,1,0
1497_wall-robot-navigation,0,0,0,0,1,1,1,1,1,0,1
1504_steel-plates-fault,1,1,0,0,0,0,0,1,1,0,0
1507_twonorm,0,0,1,0,1,1,1,1,1,1,0
1526_wall-robot-navigation,0,0,0,0,1,1,1,1,0,1,1
1535_volcanoes-b5,0,0,1,0,0,0,0,1,0,1,1
1538_volcanoes-d1,0,0,0,0,1,0,0,1,0,0,0
1539_volcanoes-d2,0,0,0,0,1,0,0,1,0,0,0
1540_volcanoes-d3,0,0,0,0,1,0,1,1,0,1,1
1541_volcanoes-d4,0,0,0,0,1,0,1,1,0,1,1
1566_hill-valley,0,0,0,0,1,1,1,1,1,0,0
182_satimage,0,0,1,0,1,0,1,1,1,0,0
23_cmc,0,0,0,0,1,0,1,1,1,0,0
28_optdigits,0,1,1,0,1,0,1,1,1,1,1
294_satellite_image,0,1,0,0,1,1,1,1,1,1,1
30_page-blocks,0,0,0,0,0,0,1,0,0,1,1
312_scene,0,1,0,0,0,1,1,1,1,1,0
375_JapaneseVowels,0,0,1,0,1,0,1,1,0,1,1
40474_thyroid-allbp,0,0,0,0,1,1,1,1,1,0,0
40475_thyroid-allhyper,0,0,1,0,1,1,1,1,1,1,1
40733_yeast,0,0,0,0,1,1,1,1,0,1,1
44_spambase,0,1,0,0,1,1,1,1,1,1,1
4538_GesturePhaseSegmentationProcessed,0,0,0,0,1,0,1,1,0,0,0
60_waveform-5000,0,1,0,0,1,1,1,1,1,1,0
679_rmftsa_sleepdata,0,0,1,1,1,0,0,1,0,0,0
AedesQuinx,0,0,0,0,1,0,1,1,1,0,1
AedesSex,1,1,0,0,1,0,1,1,1,1,1
anuranCalls,0,0,0,0,1,1,1,1,1,1,1
ArabicDigit,0,0,0,0,1,1,1,1,0,0,0
BNG,1,1,0,0,1,1,1,1,1,1,1
click-prediction,0,0,1,1,1,1,1,1,0,1,1
cmc,0,0,0,0,1,0,1,1,1,0,0
covtype_reduced,0,0,0,0,1,0,1,1,1,0,0
default_credit_card_clients,0,1,0,0,1,0,1,1,1,1,1
eeg,0,0,0,0,1,1,1,1,1,0,0
HTRU,0,1,1,0,1,0,1,1,1,1,1
jm1-processed,0,0,0,0,1,0,1,1,0,1,1
letter-recognition,0,0,0,0,1,1,0,1,0,1,1
magic,0,0,0,0,1,0,1,1,1,1,1
mozilla,0,1,0,0,1,1,1,1,1,1,1
namao,0,0,1,0,1,0,1,1,1,1,1
occupancy,0,1,0,0,1,0,1,1,1,1,0
phoneme,0,0,0,0,1,0,1,1,0,1,0
spambase,0,1,0,0,1,1,1,1,1,0,1
winetype,1,1,0,0,0,1,1,1,1,1,1
2dplanes,0,0,0,0,1,0,1,1,1,0,0
balloon,0,0,0,0,1,0,1,1,1,0,0
bank8FM,0,0,0,0,1,1,1,1,1,0,0
churn,0,0,0,0,0,0,1,0,0,1,1
clean2,1,1,0,0,0,0,1,1,1,1,1
cpu_act,0,0,1,0,1,0,1,1,1,0,0
delta_ailerons,0,1,0,0,1,0,1,1,1,1,1
electricity-normalized,0,0,0,0,1,1,1,1,1,1,0
elevators,0,0,0,0,1,0,1,1,1,0,0
file79b563a1a18,0,0,0,0,1,1,1,1,1,0,0
fried,0,0,0,0,1,1,1,1,1,0,0
fri_c2_1000_10,0,1,0,0,0,1,1,1,1,1,1
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,1,0,1,1,1,0,1,1,0,0,0
GAMETES_Epistasis_2-Way_20atts_0.4H_EDM-1_1,0,0,1,1,1,0,0,1,0,1,1
gina_agnostic,0,1,0,0,1,1,1,1,1,1,1
kin8nm,0,1,0,0,1,1,1,1,1,1,1
parity5_plus_5,0,0,1,1,1,0,0,1,0,0,0
pendigits,0,0,0,0,1,0,1,1,1,1,1
phpGUrE90,0,0,0,0,1,1,1,0,1,0,0
phphQEck0,0,0,0,0,0,0,1,1,1,1,0
phpMD2hR6,0,0,0,0,0,1,1,0,0,0,0
phpmPOD5A,0,0,1,1,1,1,1,1,0,0,0
phpV5QYya,0,0,0,0,1,1,1,1,1,0,0
pol,0,0,0,0,0,0,1,1,1,0,0
pollen,1,0,0,1,0,1,0,1,0,0,0
puma32H,1,1,1,0,1,1,1,1,1,1,1
puma8NH,0,1,0,0,1,1,1,1,1,0,1
quake,0,1,0,1,1,1,1,1,0,0,0
space_ga,0,0,0,0,1,1,1,1,1,0,0
sylva_prior,0,1,0,0,0,0,1,1,1,1,1
visualizing_soil,1,1,0,0,0,0,1,1,1,0,0
wind,0,0,0,0,1,1,1,1,1,0,0
abalone,0,0,0,0,1,1,1,1,1,0,0
ailerons,0,1,0,0,1,1,1,1,1,1,1
BNG_breast-w,0,1,0,0,1,1,1,1,1,0,1
file22f0e4a679,1,0,0,0,1,1,1,1,1,1,0
file7b5365fa741c,0,0,0,0,1,0,1,1,1,1,0
houses,0,1,0,0,0,0,1,1,1,1,1
kdd_JapaneseVowels,0,0,1,0,1,0,1,1,1,1,1
MagicTelescope,0,0,0,0,1,0,1,1,1,1,1
page-blocks,0,0,0,0,0,0,1,0,0,1,1
php50jXam,0,0,0,0,1,0,1,1,1,0,1
phplE7q6h,0,0,0,1,1,1,1,1,1,1,0
phpWfYmlu,0,1,0,0,1,0,1,1,1,1,0
phpwRjVjk,0,0,0,0,0,1,0,0,0,0,0
phpxijhaP,0,0,0,0,1,1,1,1,1,0,0
