abs-error-CC,abs-error-CC-predicted,abs-error-ACC,abs-error-ACC-predicted,abs-error-PACC,abs-error-PACC-predicted,abs-error-PCC,abs-error-PCC-predicted,abs-error-SMM,abs-error-SMM-predicted,abs-error-HDy,abs-error-HDy-predicted,abs-error-DyS,abs-error-DyS-predicted,abs-error-SORD,abs-error-SORD-predicted,abs-error-MS,abs-error-MS-predicted,abs-error-MAX,abs-error-MAX-predicted,abs-error-X,abs-error-X-predicted,abs-error-ideal,quantifier-ideal,quantifier-ideal-num,abs-error-recommended,quantifier-recommended,quantifier-recommended-num,rank-1,rank-2,rank-3,rank-4,rank-5,rank-6,rank-7,rank-8,rank-9,rank-10,rank-11
0.1832,0.19534783333333341,0.05115,0.16278767499999997,0.06924999999999999,0.20473405952380955,0.2022,0.19981191666666667,0.0507,0.10591916666666672,0.09570000000000001,0.14920218333333327,0.05055,0.14682997619047625,0.04745,0.07773543333333337,0.052199999999999996,0.14714149999999987,0.060149999999999995,0.12598141666666662,0.0554,0.123636375,0.04745,SORD,7,0.07773543333333337,SORD,7,7,4,10,9,6,8,5,1,0,3,2
0.42095,0.20925156666666672,0.25875,0.1473665,0.5,0.21931745000000014,0.26495,0.19890358333333322,0.36835,0.059971000000000003,0.0654,0.10099181666666672,0.1765,0.07157733333333333,0.15744999999999998,0.06227165000000005,0.3043,0.14282775000000003,0.17170000000000002,0.10882850000000001,0.4052,0.11865283333333332,0.0654,HDy,5,0.059971000000000003,SMM,4,4,7,6,5,9,10,8,1,3,0,2
0.00955,0.055569999999999994,0.0072499999999999995,0.02606849999999999,0.0165,0.07179849999999997,0.02035,0.11222899999999995,0.00645,0.026629000000000003,0.00845,0.028658500000000017,0.00515,0.026621499999999985,0.0053,0.02255400000000001,0.00555,0.022951499999999996,0.0083,0.0279195,0.0059,0.03268,0.00515,DyS,6,0.02255400000000001,SORD,7,7,8,1,6,4,9,5,10,0,2,3
0.0,0.1828628333333333,0.0,0.15492310000000006,0.003,0.1726862178571429,0.003,0.14172075,0.02275,0.18817110000000004,0.01665,0.16200643750000004,0.0,0.1586165000000001,0.0,0.1782076666666667,0.0,0.15777583333333334,0.0,0.17439064166666665,0.0,0.15058500000000002,0.0,CC,0,0.14172075,PCC,3,3,10,1,8,6,5,2,9,7,0,4
0.19024999999999997,0.19624269047619053,0.09505000000000001,0.12323424999999996,0.1727,0.17197804166666664,0.21675,0.18028766666666665,0.07755,0.060329666666666684,0.086,0.07421073333333332,0.0776,0.0537175,0.07985,0.06265138333333335,0.07735,0.10489825000000001,0.0942,0.07084803333333337,0.09725,0.07825666666666665,0.07735,MS,8,0.0537175,DyS,6,6,4,7,9,5,10,8,1,2,3,0
0.22625,0.234696,0.051550000000000006,0.15649049999999998,0.4239,0.20077529999999993,0.20149999999999998,0.2008587166666667,0.0599,0.1385299999999999,0.048600000000000004,0.11445366666666669,0.04285,0.11248766666666674,0.055999999999999994,0.16313500000000006,0.0575,0.15257325000000005,0.09945,0.16214741666666657,0.09945,0.16190749999999995,0.04285,DyS,6,0.11248766666666674,DyS,6,6,5,4,8,1,10,9,7,2,3,0
0.215,0.1937580000000001,0.1593,0.1307951,0.19690000000000002,0.265886,0.25105,0.19215866666666667,0.14265,0.10924266666666675,0.1579,0.11401475000000001,0.16005,0.08935733333333334,0.1413,0.09869950000000002,0.15915,0.10798110000000005,0.1593,0.12667979166666654,0.1593,0.1154299166666666,0.1413,SORD,7,0.08935733333333334,DyS,6,6,7,8,4,5,10,9,1,3,0,2
0.24815,0.36925899999999984,0.1085,0.34178825,0.12925,0.24904100000000007,0.23125,0.26891825,0.0582,0.10463900000000004,0.06165,0.09512950000000009,0.0487,0.093647,0.0541,0.10634100000000002,0.07475,0.33115900000000004,0.066,0.1151134999999999,0.066,0.11359783333333319,0.0487,DyS,6,0.093647,DyS,6,6,5,4,7,10,9,2,3,8,1,0
0.08525,0.1709496500000001,0.0762,0.0644535,0.0802,0.1759382833333334,0.14595,0.19562266666666678,0.054000000000000006,0.06067466666666666,0.0356,0.060940416666666684,0.0451,0.052405750000000015,0.0611,0.05233485000000001,0.05625,0.048347333333333326,0.06480000000000001,0.07108088333333332,0.08495000000000001,0.0662465416666666,0.0356,HDy,5,0.048347333333333326,MS,8,8,7,6,4,5,1,10,9,0,2,3
0.14825000000000002,0.20148966666666662,0.06365,0.1559534,0.1509,0.14690279999999997,0.1834,0.15105878333333334,0.05835,0.06115116666666667,0.06875,0.06474365000000008,0.0509,0.07755918333333332,0.05055,0.058997566666666695,0.0572,0.159030625,0.0518,0.07769006666666664,0.0721,0.09978237499999996,0.05055,SORD,7,0.058997566666666695,SORD,7,7,4,5,6,9,10,2,3,1,8,0
