Method,HitRate,Std
Top1,0.83,0.375632799419859
Top3,0.97,0.1705872210923198
Top5,1.0,0.0
CC,0.12,0.3249615361854384
ACC,0.33,0.4702127178203498
PACC,0.19,0.3923009049186606
PCC,0.1,0.3
SMM,0.79,0.4073082370883261
HDy,0.5,0.5
DyS,0.89,0.3128897569432403
SORD,0.93,0.2551470164434615
MS,0.71,0.4537620521815371
MAX,0.52,0.4995998398718718
X,0.48,0.4995998398718718
Top1,0.83,0.375632799419859
Top3,0.97,0.1705872210923198
Top5,1.0,0.0
CC,0.12,0.32496153618543844
ACC,0.33,0.47021271782034985
PACC,0.19,0.3923009049186606
PCC,0.1,0.3
SMM,0.79,0.4073082370883261
HDy,0.5,0.5
DyS,0.89,0.31288975694324034
SORD,0.93,0.2551470164434615
MS,0.71,0.4537620521815371
MAX,0.52,0.49959983987187184
X,0.48,0.49959983987187184
