dataset,CC,ACC,PACC,PCC,SMM,HDy,DyS,SORD,MS,MAX,X
1043_ada_agnostic,0,1,1,0,1,0,1,1,1,0,1
1069_pc2,0,0,0,0,0,0,0,0,0,1,1
11_balance-scale,1,1,0,0,0,0,1,1,0,1,1
12_mfeat-factors,0,1,0,0,1,0,0,1,1,1,0
1460_banana,0,0,0,0,0,1,0,1,0,0,0
1462_banknote-authentication,0,0,0,0,0,0,1,1,1,0,1
1466_cardiotocography,1,1,0,0,0,0,1,1,1,1,1
1475_first-order-theorem-proving,0,0,0,0,1,1,1,1,1,0,0
1479_hill-valley,0,1,0,0,0,1,1,1,0,0,0
1485_madelon,1,1,1,1,1,1,1,1,1,1,1
1489_phoneme,0,0,0,0,1,1,1,1,0,0,0
1494_qsar-biodeg,0,0,0,0,1,1,1,0,1,0,0
1496_ringnorm,0,1,0,0,1,0,1,1,1,1,0
1497_wall-robot-navigation,0,0,0,0,1,1,1,1,1,0,1
14_mfeat-fourier,0,0,0,0,0,0,0,0,0,1,1
1504_steel-plates-fault,1,1,0,0,0,0,0,1,1,0,0
1507_twonorm,0,0,1,0,1,1,1,1,1,1,0
1510_wdbc,1,1,0,0,0,1,1,1,1,1,0
1526_wall-robot-navigation,0,0,0,0,1,1,1,1,0,1,1
1527_volcanoes-a1,0,0,0,0,0,0,1,0,0,0,0
1535_volcanoes-b5,0,0,1,0,0,0,0,1,0,1,1
1538_volcanoes-d1,0,0,0,0,1,0,0,1,0,0,0
1539_volcanoes-d2,0,0,0,0,1,0,0,1,0,0,0
1540_volcanoes-d3,0,0,0,0,1,0,1,1,0,1,1
1541_volcanoes-d4,0,0,0,0,1,0,1,1,0,1,1
1547_autoUniv-au1-1000,0,0,1,1,1,1,0,1,0,0,1
1566_hill-valley,0,0,0,0,1,1,1,1,1,0,0
1570_wilt,0,0,0,0,1,0,1,1,1,1,1
16_mfeat-karhunen,0,1,0,0,0,0,0,1,1,0,0
182_satimage,0,0,1,0,1,0,1,1,1,0,0
18_mfeat-morphological,1,1,0,0,0,0,0,1,1,1,0
20_mfeat-pixel,0,1,0,0,1,0,1,1,1,1,1
22_mfeat-zernike,1,1,0,0,0,0,0,0,1,1,1
23_cmc,0,0,0,0,1,0,1,1,1,0,0
28_optdigits,0,1,1,0,1,0,1,1,1,1,1
292_Australian,0,1,0,0,0,1,1,0,0,1,1
294_satellite_image,0,1,0,0,1,1,1,1,1,1,1
30_page-blocks,0,0,0,0,0,0,1,0,0,1,1
312_scene,0,1,0,0,0,1,1,1,1,1,0
333_monks-problems-1,0,0,0,0,1,1,0,1,0,1,0
334_monks-problems-2,0,0,1,1,0,0,0,1,0,0,0
335_monks-problems-3,1,1,0,0,0,1,1,0,0,1,1
36_segment,0,1,0,0,1,0,1,1,1,0,0
375_JapaneseVowels,0,0,1,0,1,0,1,1,0,1,1
37_diabetes,0,0,0,0,1,1,1,1,1,1,0
40474_thyroid-allbp,0,0,0,0,1,1,1,1,1,0,0
40475_thyroid-allhyper,0,0,1,0,1,1,1,1,1,1,1
40733_yeast,0,0,0,0,1,1,1,1,0,1,1
44_spambase,0,1,0,0,1,1,1,1,1,1,1
4538_GesturePhaseSegmentationProcessed,0,0,0,0,1,0,1,1,0,0,0
458_analcatdata_authorship,1,1,0,0,0,0,0,1,1,1,1
54_vehicle,1,0,0,0,0,1,1,0,0,0,0
60_waveform-5000,0,1,0,0,1,1,1,1,1,1,0
679_rmftsa_sleepdata,0,0,1,1,1,0,0,1,0,0,0
AedesQuinx,0,0,0,0,1,0,1,1,1,0,1
AedesSex,1,1,0,0,1,0,1,1,1,1,1
anuranCalls,0,0,0,0,1,1,1,1,1,1,1
ArabicDigit,0,0,0,0,1,1,1,1,0,0,0
BNG,1,1,0,0,1,1,1,1,1,1,1
click-prediction,0,0,1,1,1,1,1,1,0,1,1
cmc,0,0,0,0,1,0,1,1,1,0,0
covtype_reduced,0,0,0,0,1,0,1,1,1,0,0
default_credit_card_clients,0,1,0,0,1,0,1,1,1,1,1
eeg,0,0,0,0,1,1,1,1,1,0,0
HTRU,0,1,1,0,1,0,1,1,1,1,1
jm1-processed,0,0,0,0,1,0,1,1,0,1,1
letter-recognition,0,0,0,0,1,1,0,1,0,1,1
magic,0,0,0,0,1,0,1,1,1,1,1
mozilla,0,1,0,0,1,1,1,1,1,1,1
namao,0,0,1,0,1,0,1,1,1,1,1
occupancy,0,1,0,0,1,0,1,1,1,1,0
phoneme,0,0,0,0,1,0,1,1,0,1,0
spambase,0,1,0,0,1,1,1,1,1,0,1
winetype,1,1,0,0,0,1,1,1,1,1,1
