MAE,Dataset
0.0521999999999999,1043_ada_agnostic.csv
0.2396,1048_jEdit_4.csv
0.26785,1049_pc4.csv
0.2872,1050_pc3.csv
0.41255,1054_mc2.csv
0.06735,1056_mc1.csv
0.17015,1061_ar4.csv
0.5,1065_kc3.csv
0.5,1066_kc1-binary.csv
0.25135,1068_pc1.csv
0.2496,1069_pc2.csv
0.45155,1071_mw1.csv
0.18795,1073_jEdit_4.csv
0.38785,1075_datatrieve.csv
0.16865,1115_teachingAssistant.csv
0.0,1121_badges2.csv
0.16845,1167_pc1_req.csv
0.0385999999999999,11_balance-scale.csv
0.00605,12_mfeat-factors.csv
0.3398,1456_appendicitis.csv
0.5,1460_banana.csv
0.00555,1462_banknote-authentication.csv
0.0765,1464_blood-transfusion-service-center.csv
0.48835,1465_breast-tissue.csv
0.003,1466_cardiotocography.csv
0.5,1467_climate-model-simulation-crashes.csv
0.5,1473_fertility.csv
0.07735,1475_first-order-theorem-proving.csv
0.09945,1479_hill-valley.csv
0.08395,1484_lsvt.csv
0.5,1485_madelon.csv
0.233,1487_ozone-level-8hr.csv
0.0463499999999999,1488_parkinsons.csv
0.24815,1489_phoneme.csv
0.3151,1490_planning-relax.csv
0.0451,1494_qsar-biodeg.csv
0.5,1495_qualitative-bankruptcy.csv
0.05835,1496_ringnorm.csv
0.0496999999999999,1497_wall-robot-navigation.csv
0.2889,1498_sa-heart.csv
0.0104,14_mfeat-fourier.csv
0.05225,1501_semeion.csv
0.0012,1504_steel-plates-fault.csv
0.5,1506_thoracic-surgery.csv
0.0151,1507_twonorm.csv
0.1303,1508_user-knowledge.csv
0.0638,1510_wdbc.csv
0.0317,1511_wholesale-customers.csv
0.5,1512_heart-long-beach.csv
0.0575,1519_robot-failures-lp4.csv
0.1764,1520_robot-failures-lp5.csv
0.04545,1523_vertebra-column.csv
0.5,1526_wall-robot-navigation.csv
0.20085,1527_volcanoes-a1.csv
0.217,1528_volcanoes-a2.csv
0.07445,1529_volcanoes-a3.csv
0.0501,1530_volcanoes-a4.csv
0.0414,1535_volcanoes-b5.csv
0.06995,1538_volcanoes-d1.csv
0.5,1539_volcanoes-d2.csv
0.5,1540_volcanoes-d3.csv
0.0975,1541_volcanoes-d4.csv
0.5,1547_autoUniv-au1-1000.csv
0.1644,1559_breast-tissue.csv
0.06955,1565_heart-h.csv
0.08455,1566_hill-valley.csv
0.1649,1570_wilt.csv
0.08825,1600_SPECTF.csv
0.01585,16_mfeat-karhunen.csv
0.0116,182_satimage.csv
0.0115,187_wine.csv
0.0086,18_mfeat-morphological.csv
0.04935,20_mfeat-pixel.csv
0.05525,22_mfeat-zernike.csv
0.10975,23_cmc.csv
0.05535,28_optdigits.csv
0.0786,292_Australian.csv
0.01385,294_satellite_image.csv
0.05465,30_page-blocks.csv
0.3210499999999999,311_oil_spill.csv
0.5,312_scene.csv
0.4634,316_yeast_ml8.csv
0.10575,329_hayes-roth.csv
0.08545,333_monks-problems-1.csv
0.5,334_monks-problems-2.csv
0.01495,335_monks-problems-3.csv
0.26905,336_SPECT.csv
0.0095,36_segment.csv
0.0592,375_JapaneseVowels.csv
0.0,377_synthetic_control.csv
0.0906,37_diabetes.csv
0.05445,40474_thyroid-allbp.csv
0.063,40475_thyroid-allhyper.csv
0.2186499999999999,40496_LED-display-domain-7digit.csv
0.3874499999999999,40733_yeast.csv
0.02415,40877_seeds.csv
0.07025,40_sonar.csv
0.16405,43_haberman.csv
0.02215,44_spambase.csv
0.30405,450_analcatdata_lawsuit.csv
0.09875,4538_GesturePhaseSegmentationProcessed.csv
0.0196,458_analcatdata_authorship.csv
0.1346,461_analcatdata_creditscore.csv
0.482,463_backache.csv
0.0857,464_prnn_synth.csv
0.3069,48_tae.csv
0.1349,53_heart-statlog.csv
0.0293,54_vehicle.csv
0.084,59_ionosphere.csv
0.03975,60_waveform-5000.csv
0.04095,61_iris.csv
0.5,679_rmftsa_sleepdata.csv
0.0446,694_diggle_table_a2.csv
0.14785,AedesQuinx.csv
0.02705,AedesSex.csv
0.01665,anuranCalls.csv
0.01145,ArabicDigit.csv
0.01925,BNG.csv
0.01965,click-prediction.csv
0.14565,cmc.csv
0.0804,covtype_reduced.csv
0.1285,default_credit_card_clients.csv
0.09805,eeg.csv
0.14425,HTRU.csv
0.1389,jm1-processed.csv
0.10975,letter-recognition.csv
0.08355,magic.csv
0.04195,mozilla.csv
0.0264,namao.csv
0.00695,occupancy.csv
0.28395,phoneme.csv
0.0246,spambase.csv
0.00555,winetype.csv
