MAE,Dataset
0.05055,1043_ada_agnostic.csv
0.1334,1048_jEdit_4.csv
0.0550999999999999,1049_pc4.csv
0.5,1050_pc3.csv
0.064,1054_mc2.csv
0.16495,1056_mc1.csv
0.43655,1061_ar4.csv
0.337,1065_kc3.csv
0.05145,1066_kc1-binary.csv
0.263,1068_pc1.csv
0.4756,1069_pc2.csv
0.32255,1071_mw1.csv
0.12465,1073_jEdit_4.csv
0.4543999999999999,1075_datatrieve.csv
0.26505,1115_teachingAssistant.csv
0.0,1121_badges2.csv
0.1619,1167_pc1_req.csv
0.022,11_balance-scale.csv
0.0084,12_mfeat-factors.csv
0.27835,1456_appendicitis.csv
0.1765,1460_banana.csv
0.00515,1462_banknote-authentication.csv
0.08265,1464_blood-transfusion-service-center.csv
0.08945,1465_breast-tissue.csv
0.0,1466_cardiotocography.csv
0.317,1467_climate-model-simulation-crashes.csv
0.5,1473_fertility.csv
0.0776,1475_first-order-theorem-proving.csv
0.04285,1479_hill-valley.csv
0.10305,1484_lsvt.csv
0.16005,1485_madelon.csv
0.1091,1487_ozone-level-8hr.csv
0.0608999999999999,1488_parkinsons.csv
0.0487,1489_phoneme.csv
0.5,1490_planning-relax.csv
0.0451,1494_qsar-biodeg.csv
0.0251,1495_qualitative-bankruptcy.csv
0.0509,1496_ringnorm.csv
0.04595,1497_wall-robot-navigation.csv
0.067,1498_sa-heart.csv
0.0104,14_mfeat-fourier.csv
0.01465,1501_semeion.csv
0.0012,1504_steel-plates-fault.csv
0.281,1506_thoracic-surgery.csv
0.00815,1507_twonorm.csv
0.02625,1508_user-knowledge.csv
0.0098,1510_wdbc.csv
0.0317,1511_wholesale-customers.csv
0.482,1512_heart-long-beach.csv
0.05935,1519_robot-failures-lp4.csv
0.27855,1520_robot-failures-lp5.csv
0.01075,1523_vertebra-column.csv
0.05915,1526_wall-robot-navigation.csv
0.03405,1527_volcanoes-a1.csv
0.09325,1528_volcanoes-a2.csv
0.07445,1529_volcanoes-a3.csv
0.0449,1530_volcanoes-a4.csv
0.0809,1535_volcanoes-b5.csv
0.5,1538_volcanoes-d1.csv
0.5,1539_volcanoes-d2.csv
0.0599,1540_volcanoes-d3.csv
0.0975,1541_volcanoes-d4.csv
0.41155,1547_autoUniv-au1-1000.csv
0.1565,1559_breast-tissue.csv
0.0852999999999999,1565_heart-h.csv
0.1041,1566_hill-valley.csv
0.0465,1570_wilt.csv
0.07125,1600_SPECTF.csv
0.024,16_mfeat-karhunen.csv
0.0079,182_satimage.csv
0.0264,187_wine.csv
0.0086,18_mfeat-morphological.csv
0.0158,20_mfeat-pixel.csv
0.0483,22_mfeat-zernike.csv
0.0948,23_cmc.csv
0.02245,28_optdigits.csv
0.0309,292_Australian.csv
0.0113,294_satellite_image.csv
0.0283999999999999,30_page-blocks.csv
0.0481,311_oil_spill.csv
0.01185,312_scene.csv
0.337,316_yeast_ml8.csv
0.05605,329_hayes-roth.csv
0.0981,333_monks-problems-1.csv
0.5,334_monks-problems-2.csv
0.01495,335_monks-problems-3.csv
0.1802,336_SPECT.csv
0.0045,36_segment.csv
0.01325,375_JapaneseVowels.csv
0.0035,377_synthetic_control.csv
0.06795,37_diabetes.csv
0.05225,40474_thyroid-allbp.csv
0.0631,40475_thyroid-allhyper.csv
0.16835,40496_LED-display-domain-7digit.csv
0.0984999999999999,40733_yeast.csv
0.0143,40877_seeds.csv
0.04885,40_sonar.csv
0.2000499999999999,43_haberman.csv
0.0201,44_spambase.csv
0.2239999999999999,450_analcatdata_lawsuit.csv
0.09645,4538_GesturePhaseSegmentationProcessed.csv
0.0062,458_analcatdata_authorship.csv
0.0506,461_analcatdata_creditscore.csv
0.482,463_backache.csv
0.0281499999999999,464_prnn_synth.csv
0.3072,48_tae.csv
0.1538,53_heart-statlog.csv
0.01935,54_vehicle.csv
0.0559,59_ionosphere.csv
0.0278,60_waveform-5000.csv
0.0,61_iris.csv
0.5,679_rmftsa_sleepdata.csv
0.0162,694_diggle_table_a2.csv
0.03915,AedesQuinx.csv
0.0105,AedesSex.csv
0.0058499999999999,anuranCalls.csv
0.0089,ArabicDigit.csv
0.01965,BNG.csv
0.0152,click-prediction.csv
0.1293,cmc.csv
0.092,covtype_reduced.csv
0.0539,default_credit_card_clients.csv
0.0807499999999999,eeg.csv
0.1413,HTRU.csv
0.09785,jm1-processed.csv
0.49155,letter-recognition.csv
0.0518,magic.csv
0.0369,mozilla.csv
0.0163,namao.csv
0.0073,occupancy.csv
0.0554,phoneme.csv
0.0204,spambase.csv
0.0045,winetype.csv
