MAE,Dataset
0.04745,1043_ada_agnostic.csv
0.12585,1048_jEdit_4.csv
0.04495,1049_pc4.csv
0.0856499999999999,1050_pc3.csv
0.0904,1054_mc2.csv
0.06735,1056_mc1.csv
0.17015,1061_ar4.csv
0.5,1065_kc3.csv
0.15635,1066_kc1-binary.csv
0.2173999999999999,1068_pc1.csv
0.4090999999999999,1069_pc2.csv
0.17525,1071_mw1.csv
0.127,1073_jEdit_4.csv
0.38785,1075_datatrieve.csv
0.18635,1115_teachingAssistant.csv
0.0,1121_badges2.csv
0.2787,1167_pc1_req.csv
0.06105,11_balance-scale.csv
0.0068,12_mfeat-factors.csv
0.13685,1456_appendicitis.csv
0.1574499999999999,1460_banana.csv
0.00515,1462_banknote-authentication.csv
0.0787,1464_blood-transfusion-service-center.csv
0.2969,1465_breast-tissue.csv
0.0,1466_cardiotocography.csv
0.48625,1467_climate-model-simulation-crashes.csv
0.3788499999999999,1473_fertility.csv
0.07755,1475_first-order-theorem-proving.csv
0.0486,1479_hill-valley.csv
0.1637,1484_lsvt.csv
0.1413,1485_madelon.csv
0.05565,1487_ozone-level-8hr.csv
0.2327,1488_parkinsons.csv
0.0487,1489_phoneme.csv
0.33135,1490_planning-relax.csv
0.0611,1494_qsar-biodeg.csv
0.0251,1495_qualitative-bankruptcy.csv
0.05055,1496_ringnorm.csv
0.0496999999999999,1497_wall-robot-navigation.csv
0.067,1498_sa-heart.csv
0.0102,14_mfeat-fourier.csv
0.02005,1501_semeion.csv
0.00395,1504_steel-plates-fault.csv
0.5,1506_thoracic-surgery.csv
0.0087,1507_twonorm.csv
0.03,1508_user-knowledge.csv
0.0135,1510_wdbc.csv
0.0275,1511_wholesale-customers.csv
0.482,1512_heart-long-beach.csv
0.0575,1519_robot-failures-lp4.csv
0.27855,1520_robot-failures-lp5.csv
0.01075,1523_vertebra-column.csv
0.06935,1526_wall-robot-navigation.csv
0.0471,1527_volcanoes-a1.csv
0.0384,1528_volcanoes-a2.csv
0.0415,1529_volcanoes-a3.csv
0.0558,1530_volcanoes-a4.csv
0.0758,1535_volcanoes-b5.csv
0.06315,1538_volcanoes-d1.csv
0.10385,1539_volcanoes-d2.csv
0.06055,1540_volcanoes-d3.csv
0.0890499999999999,1541_volcanoes-d4.csv
0.19995,1547_autoUniv-au1-1000.csv
0.1730999999999999,1559_breast-tissue.csv
0.0711,1565_heart-h.csv
0.0948,1566_hill-valley.csv
0.03875,1570_wilt.csv
0.07725,1600_SPECTF.csv
0.01945,16_mfeat-karhunen.csv
0.01005,182_satimage.csv
0.0112,187_wine.csv
0.00695,18_mfeat-morphological.csv
0.0162,20_mfeat-pixel.csv
0.0323,22_mfeat-zernike.csv
0.08995,23_cmc.csv
0.01705,28_optdigits.csv
0.02895,292_Australian.csv
0.0127,294_satellite_image.csv
0.05745,30_page-blocks.csv
0.18875,311_oil_spill.csv
0.01325,312_scene.csv
0.5,316_yeast_ml8.csv
0.10575,329_hayes-roth.csv
0.0755499999999999,333_monks-problems-1.csv
0.44155,334_monks-problems-2.csv
0.02555,335_monks-problems-3.csv
0.126,336_SPECT.csv
0.00885,36_segment.csv
0.01705,375_JapaneseVowels.csv
0.04815,377_synthetic_control.csv
0.0829,37_diabetes.csv
0.0546,40474_thyroid-allbp.csv
0.06335,40475_thyroid-allhyper.csv
0.0788,40496_LED-display-domain-7digit.csv
0.0932,40733_yeast.csv
0.0219499999999999,40877_seeds.csv
0.05475,40_sonar.csv
0.15695,43_haberman.csv
0.02135,44_spambase.csv
0.256,450_analcatdata_lawsuit.csv
0.09875,4538_GesturePhaseSegmentationProcessed.csv
0.0052,458_analcatdata_authorship.csv
0.05205,461_analcatdata_creditscore.csv
0.5,463_backache.csv
0.06975,464_prnn_synth.csv
0.2771,48_tae.csv
0.1538,53_heart-statlog.csv
0.0331,54_vehicle.csv
0.084,59_ionosphere.csv
0.0335499999999999,60_waveform-5000.csv
0.0,61_iris.csv
0.11645,679_rmftsa_sleepdata.csv
0.02725,694_diggle_table_a2.csv
0.0404,AedesQuinx.csv
0.0112,AedesSex.csv
0.0058499999999999,anuranCalls.csv
0.00955,ArabicDigit.csv
0.0229499999999999,BNG.csv
0.01775,click-prediction.csv
0.1384,cmc.csv
0.092,covtype_reduced.csv
0.05515,default_credit_card_clients.csv
0.0802,eeg.csv
0.15835,HTRU.csv
0.1059,jm1-processed.csv
0.09815,letter-recognition.csv
0.05035,magic.csv
0.04095,mozilla.csv
0.01815,namao.csv
0.00695,occupancy.csv
0.0554,phoneme.csv
0.0204,spambase.csv
0.0051,winetype.csv
