MAE,Dataset
0.0554,1043_ada_agnostic.csv
0.12585,1048_jEdit_4.csv
0.0475999999999999,1049_pc4.csv
0.2872,1050_pc3.csv
0.0914,1054_mc2.csv
0.06735,1056_mc1.csv
0.15035,1061_ar4.csv
0.5,1065_kc3.csv
0.05355,1066_kc1-binary.csv
0.5,1068_pc1.csv
0.4868,1069_pc2.csv
0.05815,1071_mw1.csv
0.19795,1073_jEdit_4.csv
0.0661,1075_datatrieve.csv
0.26195,1115_teachingAssistant.csv
0.0,1121_badges2.csv
0.2787,1167_pc1_req.csv
0.0235,11_balance-scale.csv
0.0084,12_mfeat-factors.csv
0.13685,1456_appendicitis.csv
0.1574499999999999,1460_banana.csv
0.00845,1462_banknote-authentication.csv
0.0765,1464_blood-transfusion-service-center.csv
0.08945,1465_breast-tissue.csv
0.0,1466_cardiotocography.csv
0.317,1467_climate-model-simulation-crashes.csv
0.3788499999999999,1473_fertility.csv
0.07985,1475_first-order-theorem-proving.csv
0.0559999999999999,1479_hill-valley.csv
0.1297,1484_lsvt.csv
0.1413,1485_madelon.csv
0.0733999999999999,1487_ozone-level-8hr.csv
0.09065,1488_parkinsons.csv
0.0541,1489_phoneme.csv
0.5,1490_planning-relax.csv
0.05625,1494_qsar-biodeg.csv
0.0361,1495_qualitative-bankruptcy.csv
0.06875,1496_ringnorm.csv
0.0496999999999999,1497_wall-robot-navigation.csv
0.067,1498_sa-heart.csv
0.0104,14_mfeat-fourier.csv
0.02165,1501_semeion.csv
0.00395,1504_steel-plates-fault.csv
0.386,1506_thoracic-surgery.csv
0.0083,1507_twonorm.csv
0.02625,1508_user-knowledge.csv
0.01515,1510_wdbc.csv
0.03065,1511_wholesale-customers.csv
0.44585,1512_heart-long-beach.csv
0.0575,1519_robot-failures-lp4.csv
0.1764,1520_robot-failures-lp5.csv
0.01665,1523_vertebra-column.csv
0.06935,1526_wall-robot-navigation.csv
0.03405,1527_volcanoes-a1.csv
0.09325,1528_volcanoes-a2.csv
0.07445,1529_volcanoes-a3.csv
0.0449,1530_volcanoes-a4.csv
0.0758,1535_volcanoes-b5.csv
0.06315,1538_volcanoes-d1.csv
0.10385,1539_volcanoes-d2.csv
0.06055,1540_volcanoes-d3.csv
0.0890499999999999,1541_volcanoes-d4.csv
0.19875,1547_autoUniv-au1-1000.csv
0.21265,1559_breast-tissue.csv
0.0803,1565_heart-h.csv
0.08455,1566_hill-valley.csv
0.0391,1570_wilt.csv
0.0783,1600_SPECTF.csv
0.024,16_mfeat-karhunen.csv
0.0079,182_satimage.csv
0.01075,187_wine.csv
0.00695,18_mfeat-morphological.csv
0.0158,20_mfeat-pixel.csv
0.0483,22_mfeat-zernike.csv
0.0948,23_cmc.csv
0.01705,28_optdigits.csv
0.04155,292_Australian.csv
0.0113,294_satellite_image.csv
0.0313,30_page-blocks.csv
0.16185,311_oil_spill.csv
0.01185,312_scene.csv
0.4634,316_yeast_ml8.csv
0.11435,329_hayes-roth.csv
0.07185,333_monks-problems-1.csv
0.28825,334_monks-problems-2.csv
0.01475,335_monks-problems-3.csv
0.1682499999999999,336_SPECT.csv
0.0095,36_segment.csv
0.01325,375_JapaneseVowels.csv
0.0,377_synthetic_control.csv
0.0829,37_diabetes.csv
0.05225,40474_thyroid-allbp.csv
0.0631,40475_thyroid-allhyper.csv
0.1273,40496_LED-display-domain-7digit.csv
0.0932,40733_yeast.csv
0.0219499999999999,40877_seeds.csv
0.05475,40_sonar.csv
0.1534,43_haberman.csv
0.0242499999999999,44_spambase.csv
0.2239999999999999,450_analcatdata_lawsuit.csv
0.0951999999999999,4538_GesturePhaseSegmentationProcessed.csv
0.0052,458_analcatdata_authorship.csv
0.16015,461_analcatdata_creditscore.csv
0.5,463_backache.csv
0.03615,464_prnn_synth.csv
0.2771,48_tae.csv
0.20725,53_heart-statlog.csv
0.0289999999999999,54_vehicle.csv
0.084,59_ionosphere.csv
0.03095,60_waveform-5000.csv
0.00015,61_iris.csv
0.11645,679_rmftsa_sleepdata.csv
0.0153,694_diggle_table_a2.csv
0.03955,AedesQuinx.csv
0.01365,AedesSex.csv
0.0075,anuranCalls.csv
0.00935,ArabicDigit.csv
0.0352,BNG.csv
0.01775,click-prediction.csv
0.1293,cmc.csv
0.17065,covtype_reduced.csv
0.05515,default_credit_card_clients.csv
0.0802,eeg.csv
0.1722,HTRU.csv
0.1059,jm1-processed.csv
0.09815,letter-recognition.csv
0.05035,magic.csv
0.04305,mozilla.csv
0.0201,namao.csv
0.01655,occupancy.csv
0.05835,phoneme.csv
0.025,spambase.csv
0.0045,winetype.csv
