MAE,Dataset
0.0507,1043_ada_agnostic.csv
0.12605,1048_jEdit_4.csv
0.04495,1049_pc4.csv
0.2872,1050_pc3.csv
0.1384,1054_mc2.csv
0.06735,1056_mc1.csv
0.1464,1061_ar4.csv
0.5,1065_kc3.csv
0.05145,1066_kc1-binary.csv
0.2173999999999999,1068_pc1.csv
0.4090999999999999,1069_pc2.csv
0.1449,1071_mw1.csv
0.12465,1073_jEdit_4.csv
0.38785,1075_datatrieve.csv
0.11245,1115_teachingAssistant.csv
0.0,1121_badges2.csv
0.1619,1167_pc1_req.csv
0.0219499999999999,11_balance-scale.csv
0.0059499999999999,12_mfeat-factors.csv
0.16325,1456_appendicitis.csv
0.1574499999999999,1460_banana.csv
0.00515,1462_banknote-authentication.csv
0.0765,1464_blood-transfusion-service-center.csv
0.18945,1465_breast-tissue.csv
0.0,1466_cardiotocography.csv
0.17415,1467_climate-model-simulation-crashes.csv
0.3578,1473_fertility.csv
0.07755,1475_first-order-theorem-proving.csv
0.0559999999999999,1479_hill-valley.csv
0.22315,1484_lsvt.csv
0.1413,1485_madelon.csv
0.0733999999999999,1487_ozone-level-8hr.csv
0.2327,1488_parkinsons.csv
0.0487,1489_phoneme.csv
0.33135,1490_planning-relax.csv
0.0451,1494_qsar-biodeg.csv
0.0251,1495_qualitative-bankruptcy.csv
0.05835,1496_ringnorm.csv
0.0496999999999999,1497_wall-robot-navigation.csv
0.067,1498_sa-heart.csv
0.01005,14_mfeat-fourier.csv
0.01465,1501_semeion.csv
0.0,1504_steel-plates-fault.csv
0.44875,1506_thoracic-surgery.csv
0.01115,1507_twonorm.csv
0.06945,1508_user-knowledge.csv
0.0135,1510_wdbc.csv
0.03065,1511_wholesale-customers.csv
0.482,1512_heart-long-beach.csv
0.05935,1519_robot-failures-lp4.csv
0.30265,1520_robot-failures-lp5.csv
0.01075,1523_vertebra-column.csv
0.05785,1526_wall-robot-navigation.csv
0.03405,1527_volcanoes-a1.csv
0.09325,1528_volcanoes-a2.csv
0.04145,1529_volcanoes-a3.csv
0.04335,1530_volcanoes-a4.csv
0.0414,1535_volcanoes-b5.csv
0.06315,1538_volcanoes-d1.csv
0.10385,1539_volcanoes-d2.csv
0.06055,1540_volcanoes-d3.csv
0.0890499999999999,1541_volcanoes-d4.csv
0.19995,1547_autoUniv-au1-1000.csv
0.1730999999999999,1559_breast-tissue.csv
0.06755,1565_heart-h.csv
0.08455,1566_hill-valley.csv
0.03875,1570_wilt.csv
0.07725,1600_SPECTF.csv
0.024,16_mfeat-karhunen.csv
0.0079,182_satimage.csv
0.02535,187_wine.csv
0.00695,18_mfeat-morphological.csv
0.0204,20_mfeat-pixel.csv
0.04375,22_mfeat-zernike.csv
0.1659,23_cmc.csv
0.02245,28_optdigits.csv
0.0309,292_Australian.csv
0.0127,294_satellite_image.csv
0.05745,30_page-blocks.csv
0.0481,311_oil_spill.csv
0.01185,312_scene.csv
0.5,316_yeast_ml8.csv
0.11435,329_hayes-roth.csv
0.0755499999999999,333_monks-problems-1.csv
0.0935,334_monks-problems-2.csv
0.02555,335_monks-problems-3.csv
0.126,336_SPECT.csv
0.00885,36_segment.csv
0.01325,375_JapaneseVowels.csv
0.00395,377_synthetic_control.csv
0.0829,37_diabetes.csv
0.05445,40474_thyroid-allbp.csv
0.0631,40475_thyroid-allhyper.csv
0.10175,40496_LED-display-domain-7digit.csv
0.0932,40733_yeast.csv
0.0325,40877_seeds.csv
0.0635,40_sonar.csv
0.1534,43_haberman.csv
0.0201,44_spambase.csv
0.2239999999999999,450_analcatdata_lawsuit.csv
0.09875,4538_GesturePhaseSegmentationProcessed.csv
0.0052,458_analcatdata_authorship.csv
0.04125,461_analcatdata_creditscore.csv
0.5,463_backache.csv
0.0281499999999999,464_prnn_synth.csv
0.3072,48_tae.csv
0.1538,53_heart-statlog.csv
0.0276,54_vehicle.csv
0.05195,59_ionosphere.csv
0.03095,60_waveform-5000.csv
0.0,61_iris.csv
0.11645,679_rmftsa_sleepdata.csv
0.02725,694_diggle_table_a2.csv
0.0404,AedesQuinx.csv
0.0115,AedesSex.csv
0.0058499999999999,anuranCalls.csv
0.01085,ArabicDigit.csv
0.09005,BNG.csv
0.01965,click-prediction.csv
0.4985,cmc.csv
0.092,covtype_reduced.csv
0.0696,default_credit_card_clients.csv
0.0802,eeg.csv
0.23315,HTRU.csv
0.1733,jm1-processed.csv
0.09815,letter-recognition.csv
0.05,magic.csv
0.0402,mozilla.csv
0.0188,namao.csv
0.00695,occupancy.csv
0.0554,phoneme.csv
0.0204,spambase.csv
0.0054,winetype.csv
