abs-error-CC,abs-error-CC-predicted,abs-error-ACC,abs-error-ACC-predicted,abs-error-PACC,abs-error-PACC-predicted,abs-error-PCC,abs-error-PCC-predicted,abs-error-SMM,abs-error-SMM-predicted,abs-error-HDy,abs-error-HDy-predicted,abs-error-DyS,abs-error-DyS-predicted,abs-error-SORD,abs-error-SORD-predicted,abs-error-MS,abs-error-MS-predicted,abs-error-MS2,abs-error-MS2-predicted,abs-error-MAX,abs-error-MAX-predicted,abs-error-X,abs-error-X-predicted,abs-error-T50,abs-error-T50-predicted,abs-error-ideal,quantifier-ideal,quantifier-ideal-num,abs-error-recommended,quantifier-recommended,quantifier-recommended-num,rank-1,rank-2,rank-3,rank-4,rank-5,rank-6,rank-7,rank-8,rank-9,rank-10,rank-11,rank-12,rank-13
0.1832,0.21872141976190543,0.05115,0.10948059444444443,0.06924999999999999,0.15797513380952385,0.2022,0.22812359333333296,0.0507,0.07436449500000002,0.09570000000000001,0.155890526666667,0.05055,0.11216317333333314,0.04745,0.069604305,0.052199999999999996,0.11505208833333365,0.22644999999999998,0.2520110483333327,0.060149999999999995,0.10657981539682546,0.0554,0.09340275666666661,0.5,0.5,0.04745,SORD,7,0.069604305,SORD,7,7,4,11,10,1,6,8,5,2,0,3,9,12
0.19905,0.3507798000000011,0.24215,0.31523600000000057,0.1721,0.33773169999999997,0.24004999999999999,0.2748029499999997,0.12605,0.14790850000000028,0.15245,0.20140894999999995,0.1334,0.22288860000000055,0.12585000000000002,0.12412809999999981,0.1784,0.26269390000000037,0.3971,0.37688289999999974,0.20010000000000003,0.2290185000000004,0.2396,0.262550425,0.5,0.5,0.12585000000000002,SORD,7,0.12412809999999981,SORD,7,7,4,5,6,10,11,8,3,1,2,0,9,12
0.28845,0.27007645595238156,0.0691,0.07612282333333338,0.07915,0.20008272666666654,0.2829,0.2713098700000001,0.047599999999999996,0.06063079333333324,0.20850000000000002,0.16084479166666665,0.055099999999999996,0.08973081666666659,0.044950000000000004,0.050690162142857084,0.05595,0.07946678333333325,0.26785,0.2848391833333332,0.051100000000000007,0.08093939499999993,0.044199999999999996,0.10260984000000006,0.5,0.5,0.044199999999999996,X,11,0.050690162142857084,SORD,7,7,4,1,8,10,6,11,5,2,0,3,9,12
0.5,0.3783042000000006,0.5,0.28804998333333315,0.37799999999999995,0.21971942499999988,0.37799999999999995,0.31031657500000004,0.08564999999999999,0.12753443190476177,0.24285,0.18939296666666683,0.5,0.18880471666666673,0.08275,0.11300114166666665,0.5,0.2516667799999997,0.5,0.3103951716666661,0.2872,0.18413513500000028,0.2872,0.16015791333333335,0.5,0.5,0.08275,SORD,7,0.11300114166666665,SORD,7,7,4,11,10,6,5,2,8,1,3,9,0,12
0.27,0.20985158333333367,0.16895,0.14825850000000018,0.3455,0.19767786666666678,0.24945,0.22439920833333382,0.09040000000000001,0.11555499999999994,0.17855000000000001,0.2499073000000001,0.064,0.16938965277777826,0.09140000000000001,0.11487409999999998,0.09300000000000001,0.1493157333333331,0.32905,0.2851497349999995,0.1384,0.13104852857142843,0.41255000000000003,0.1446709100000001,0.5,0.5,0.064,DyS,6,0.11487409999999998,SORD,7,7,4,10,11,1,8,6,2,0,3,5,9,12
0.38815,0.4712455000000015,0.09465,0.4437933000000022,0.35215,0.32780179999999937,0.4645,0.43326289999999945,0.12895,0.2878777999999993,0.31605,0.3091350000000007,0.16495,0.35195130000000013,0.1315,0.3084285000000002,0.16005,0.4354370000000008,0.3111,0.30342699999999967,0.06735000000000001,0.19980189999999987,0.06735000000000001,0.21263599999999958,0.5,0.5,0.06735000000000001,MAX,10,0.19980189999999987,MAX,10,10,11,4,9,7,5,2,6,3,8,1,0,12
0.33715000000000006,0.18169103333333356,0.1259,0.12700684999999987,0.1609,0.19969586000000025,0.3023,0.18863380000000046,0.17015,0.11062891999999977,0.47275,0.20250207499999992,0.43655,0.14123795000000028,0.1464,0.1303108500000001,0.17365000000000003,0.12940233333333334,0.2723,0.2643660499999993,0.15035,0.1252444499999998,0.07525,0.16355525000000018,0.5,0.5,0.07525,X,11,0.11062891999999977,SMM,4,4,10,1,8,7,6,11,0,3,2,5,9,12
0.5,0.30014905000000003,0.5,0.14230610000000016,0.37835,0.16943246666666673,0.37835,0.2832264833333333,0.0876,0.10625819166666677,0.309,0.2922581666666658,0.337,0.14958568333333336,0.0643,0.11329476666666642,0.5,0.1183264833333332,0.5,0.2724719500000002,0.5,0.08271799166666657,0.5,0.15624392500000003,0.5,0.5,0.0643,SORD,7,0.08271799166666657,MAX,10,10,4,7,8,1,6,11,2,9,3,5,0,12
0.12955,0.17777361666666658,0.0659,0.11728839714285749,0.22175,0.20733109999999974,0.18434999999999999,0.17087821666666717,0.06755,0.11251644999999996,0.15635,0.13058189999999995,0.05145,0.12584890000000032,0.05355000000000001,0.10997219999999985,0.0649,0.10509396666666657,0.27685,0.24813863499999933,0.06245,0.11578032857142831,0.09040000000000001,0.1387981133333331,0.5,0.5,0.05145,DyS,6,0.10509396666666657,MS,8,8,7,4,10,1,6,5,11,3,0,2,9,12
0.5,0.4276854000000008,0.5,0.2900067000000004,0.43575,0.3758965749999993,0.43575,0.37704199999999866,0.25135,0.11356881666666675,0.263,0.24132450000000022,0.263,0.20870060000000035,0.21739999999999998,0.10903149999999986,0.5,0.2615674000000001,0.5,0.3473168666666665,0.5,0.11059976666666652,0.5,0.1402225166666667,0.5,0.5,0.21739999999999998,SORD,7,0.10903149999999986,SORD,7,7,10,4,11,6,5,8,1,9,2,3,0,12
0.49939999999999996,0.41533859999999934,0.4918,0.2462986000000005,0.3433,0.3425477999999991,0.4905,0.42911139999999753,0.40909999999999996,0.14794050000000072,0.43215000000000003,0.31141419999999953,0.4756,0.22103010000000092,0.4868,0.16656920000000058,0.49895,0.25979959999999963,0.24960000000000002,0.33756930000000096,0.13140000000000002,0.23269870000000056,0.13140000000000002,0.2544627000000004,0.5,0.5,0.13140000000000002,MAX,10,0.14794050000000072,SMM,4,4,7,6,10,1,11,8,5,9,2,0,3,12
0.43395000000000006,0.39397106666666665,0.30079999999999996,0.29874039999999996,0.17335,0.26393655000000005,0.3901,0.3612112333333337,0.1449,0.11436899523809516,0.45155,0.30158839999999904,0.32255,0.17644780000000038,0.17525,0.09039613333333338,0.23855,0.2505348666666667,0.28059999999999996,0.3894326999999997,0.05815000000000001,0.22759298333333372,0.19835,0.2547889333333337,0.5,0.5,0.05815000000000001,MAX,10,0.09039613333333338,SORD,7,7,4,6,10,8,11,2,1,5,3,9,0,12
