abs-error-CC,abs-error-CC-predicted,abs-error-ACC,abs-error-ACC-predicted,abs-error-PACC,abs-error-PACC-predicted,abs-error-PCC,abs-error-PCC-predicted,abs-error-SMM,abs-error-SMM-predicted,abs-error-HDy,abs-error-HDy-predicted,abs-error-DyS,abs-error-DyS-predicted,abs-error-SORD,abs-error-SORD-predicted,abs-error-MS,abs-error-MS-predicted,abs-error-MAX,abs-error-MAX-predicted,abs-error-X,abs-error-X-predicted,abs-error-ideal,quantifier-ideal,quantifier-ideal-num,abs-error-recommended,quantifier-recommended,quantifier-recommended-num,rank-1,rank-2,rank-3,rank-4,rank-5,rank-6,rank-7,rank-8,rank-9,rank-10,rank-11
0.1832,0.24311791666666657,0.05115,0.09897503333333332,0.06924999999999999,0.15037701666666664,0.2022,0.24131929166666669,0.0507,0.071341375,0.09570000000000001,0.14743818333333336,0.05055,0.09592786666666665,0.04745,0.07501612499999999,0.052199999999999996,0.11370500952380949,0.060149999999999995,0.10854037499999998,0.0554,0.10483500000000005,0.04745,SORD,7,0.071341375,SMM,4,4,7,6,1,10,9,8,5,2,3,0
0.19905,0.3724509999999999,0.24215,0.3203205000000002,0.1721,0.33337150000000015,0.24004999999999999,0.27333400000000024,0.12605,0.13810149999999996,0.15245,0.1920603749999999,0.1334,0.21529649999999992,0.12585000000000002,0.12543700000000002,0.1784,0.2695919999999999,0.20010000000000003,0.2036815,0.2396,0.2530529999999999,0.12585000000000002,SORD,7,0.12543700000000002,SORD,7,7,4,5,9,6,10,8,3,1,2,0
0.28845,0.28127766666666654,0.0691,0.08607591666666663,0.07915,0.19072508333333332,0.2829,0.2737769166666667,0.047599999999999996,0.05329288333333333,0.20850000000000002,0.16345050000000008,0.055099999999999996,0.08515663333333336,0.044950000000000004,0.04843991666666667,0.05595,0.06678619999999996,0.051100000000000007,0.0833773,0.044199999999999996,0.11365849999999997,0.044199999999999996,X,10,0.04843991666666667,SORD,7,7,4,8,9,6,1,10,5,2,3,0
0.5,0.3816364999999998,0.5,0.28213266666666664,0.37799999999999995,0.23807199999999998,0.37799999999999995,0.3006414583333335,0.08564999999999999,0.13813203571428576,0.24285,0.17338850000000008,0.5,0.17306683333333323,0.08275,0.10633000000000002,0.5,0.26652583333333335,0.2872,0.19429733333333338,0.2872,0.1626353833333333,0.08275,SORD,7,0.10633000000000002,SORD,7,7,4,10,6,5,9,2,8,1,3,0
0.27,0.2230054999999999,0.16895,0.14863100000000007,0.3455,0.19193850000000004,0.24945,0.24070200000000003,0.09040000000000001,0.11375950000000001,0.17855000000000001,0.26312250000000015,0.064,0.1616254999999999,0.09140000000000001,0.11376075000000002,0.09300000000000001,0.1423145000000001,0.1384,0.12489900000000002,0.41255000000000003,0.12330649999999999,0.064,DyS,6,0.11375950000000001,SMM,4,4,7,10,9,8,1,6,2,0,3,5
0.38815,0.4778385000000002,0.09465,0.43825,0.35215,0.3272469999999998,0.4645,0.44038449999999985,0.12895,0.27909749999999983,0.31605,0.32585800000000015,0.16495,0.3386665,0.1315,0.3084869999999997,0.16005,0.43626950000000014,0.06735000000000001,0.20878749999999996,0.06735000000000001,0.2185049999999999,0.06735000000000001,MAX,9,0.20878749999999996,MAX,9,9,10,4,7,5,2,6,8,1,3,0
0.33715000000000006,0.1827099999999999,0.1259,0.13579000000000002,0.1609,0.19036050000000007,0.3023,0.17423900000000006,0.17015,0.11582025000000006,0.47275,0.1732766250000002,0.43655,0.120763,0.1464,0.11909974999999996,0.17365000000000003,0.13515449999999993,0.15035,0.11337400000000006,0.07525,0.1789375,0.07525,X,10,0.11337400000000006,MAX,9,9,4,7,6,8,1,5,3,10,0,2
0.5,0.29944999999999977,0.5,0.14135333333333341,0.37835,0.17394349999999995,0.37835,0.2811975000000002,0.0876,0.11140875000000001,0.309,0.27901250000000033,0.337,0.14316299999999993,0.0643,0.10945789285714286,0.5,0.10021700000000001,0.5,0.07303233333333338,0.5,0.16378299999999993,0.0643,SORD,7,0.07303233333333338,MAX,9,9,8,7,4,1,6,10,2,5,3,0
0.12955,0.17404033333333327,0.0659,0.10505249999999998,0.22175,0.2275525000000001,0.18434999999999999,0.17417083333333327,0.06755,0.11911900000000003,0.15635,0.11059699999999997,0.05145,0.1153805,0.05355000000000001,0.09315724999999998,0.0649,0.09491900000000002,0.06245,0.10859983333333334,0.09040000000000001,0.14060250000000002,0.05145,DyS,6,0.09315724999999998,SORD,7,7,8,1,9,5,6,4,10,0,3,2
0.5,0.42676450000000016,0.5,0.31140350000000006,0.43575,0.3796575000000001,0.43575,0.37703149999999985,0.25135,0.12187149999999997,0.263,0.24596800000000016,0.263,0.20155849999999995,0.21739999999999998,0.11220950000000006,0.5,0.23731149999999993,0.5,0.126635875,0.5,0.16541600000000006,0.21739999999999998,SORD,7,0.11220950000000006,SORD,7,7,4,9,10,6,8,5,1,3,2,0
