abs-error-CC,abs-error-CC-predicted,abs-error-ACC,abs-error-ACC-predicted,abs-error-PACC,abs-error-PACC-predicted,abs-error-PCC,abs-error-PCC-predicted,abs-error-SMM,abs-error-SMM-predicted,abs-error-HDy,abs-error-HDy-predicted,abs-error-DyS,abs-error-DyS-predicted,abs-error-SORD,abs-error-SORD-predicted,abs-error-MS,abs-error-MS-predicted,abs-error-MS2,abs-error-MS2-predicted,abs-error-MAX,abs-error-MAX-predicted,abs-error-X,abs-error-X-predicted,abs-error-ideal,quantifier-ideal,quantifier-ideal-num,abs-error-recommended,quantifier-recommended,quantifier-recommended-num,rank-1,rank-2,rank-3,rank-4,rank-5,rank-6,rank-7,rank-8,rank-9,rank-10,rank-11,rank-12
0.1832,0.232033,0.05115,0.07566982,0.06924999999999999,0.13726602,0.2022,0.20590024,0.0507,0.05448322,0.09570000000000001,0.06625448,0.05055,0.09382608,0.04745,0.070949286,0.052199999999999996,0.086642966,0.22644999999999998,0.23397447,0.060149999999999995,0.060717285,0.0554,0.07342983,0.04745,SORD,7,0.05448322,SMM,4,4,10,5,7,11,1,8,6,2,3,0,9
0.19905,0.36704695,0.24215,0.39722607,0.1721,0.35681012,0.24004999999999999,0.28963238,0.12605,0.120037355,0.15245,0.19166118,0.1334,0.21222565,0.12585000000000002,0.12812087,0.1784,0.32318214,0.3971,0.3727314,0.20010000000000003,0.210678,0.2396,0.26008996,0.12585000000000002,SORD,7,0.120037355,SMM,4,4,7,5,10,6,11,3,8,2,0,9,1
0.28845,0.37070173,0.0691,0.17322357,0.07915,0.32508776,0.2829,0.31928006,0.047599999999999996,0.061761674,0.20850000000000002,0.17863409,0.055099999999999996,0.110092916,0.044950000000000004,0.044818044,0.05595,0.14338288,0.26785,0.30249837,0.051100000000000007,0.2987937,0.044199999999999996,0.14289695,0.044199999999999996,X,11,0.044818044,SORD,7,7,4,6,11,8,1,5,10,9,3,2,0
0.5,0.4434526,0.5,0.29775333,0.37799999999999995,0.1998359,0.37799999999999995,0.36639133,0.08564999999999999,0.18762152,0.24285,0.20113613,0.5,0.13554657,0.08275,0.09194554,0.5,0.28611612,0.5,0.36039287,0.2872,0.112292826,0.2872,0.063149355,0.08275,SORD,7,0.063149355,X,11,11,7,10,6,4,2,5,8,1,9,3,0
0.27,0.21367411,0.16895,0.13538723,0.3455,0.16457696,0.24945,0.21599782,0.09040000000000001,0.109313294,0.17855000000000001,0.35813737,0.064,0.08608828,0.09140000000000001,0.11896711,0.09300000000000001,0.1666057,0.32905,0.24630985,0.1384,0.071941204,0.41255000000000003,0.086329296,0.064,DyS,6,0.071941204,MAX,10,10,6,11,4,7,1,2,8,0,3,9,5
0.38815,0.4960886,0.09465,0.4825953,0.35215,0.36777836,0.4645,0.48313943,0.12895,0.36639753,0.31605,0.37795913,0.16495,0.4248538,0.1315,0.18015622,0.16005,0.42999086,0.3111,0.35295007,0.06735000000000001,0.15230758,0.06735000000000001,0.13623743,0.06735000000000001,MAX,10,0.13623743,X,11,11,10,7,9,4,2,5,6,8,1,3,0
0.33715000000000006,0.23574035,0.1259,0.14938901,0.1609,0.27725944,0.3023,0.21590692,0.17015,0.11703051,0.47275,0.20247878,0.43655,0.16767314,0.1464,0.08478912,0.17365000000000003,0.10989616,0.2723,0.23403952,0.15035,0.20527232,0.07525,0.17979516,0.07525,X,11,0.08478912,SORD,7,7,8,4,1,6,11,5,10,3,9,0,2
0.5,0.27209032,0.5,0.1855836,0.37835,0.107687354,0.37835,0.31925437,0.0876,0.13125876,0.309,0.31123462,0.337,0.21018782,0.0643,0.13270885,0.5,0.13559051,0.5,0.25827903,0.5,0.06117681,0.5,0.14658612,0.0643,SORD,7,0.06117681,MAX,10,10,2,4,7,8,11,1,6,9,0,5,3
0.12955,0.21982384,0.0659,0.092205055,0.22175,0.24145186,0.18434999999999999,0.18949912,0.06755,0.13470381,0.15635,0.08463161,0.05145,0.07191177,0.05355000000000001,0.09157384,0.0649,0.08868232,0.27685,0.3032252,0.06245,0.12531222,0.09040000000000001,0.08231499,0.05145,DyS,6,0.07191177,DyS,6,6,11,5,8,7,1,10,4,3,0,2,9
0.5,0.37584442,0.5,0.21696582,0.43575,0.30295217,0.43575,0.3653163,0.25135,0.10084784,0.263,0.26323497,0.263,0.1914408,0.21739999999999998,0.06947346,0.5,0.29752594,0.5,0.3798466,0.5,0.124045454,0.5,0.18633509,0.21739999999999998,SORD,7,0.06947346,SORD,7,7,4,10,11,6,1,5,8,2,3,0,9
0.49939999999999996,0.39108136,0.4918,0.2062635,0.3433,0.328966,0.4905,0.46321672,0.40909999999999996,0.12260362,0.43215000000000003,0.33741897,0.4756,0.18125916,0.4868,0.13248192,0.49895,0.16544585,0.24960000000000002,0.321931,0.13140000000000002,0.18887784,0.13140000000000002,0.26800716,0.13140000000000002,MAX,10,0.12260362,SMM,4,4,7,8,6,10,1,11,9,2,5,0,3
0.43395000000000006,0.44726673,0.30079999999999996,0.32920912,0.17335,0.3194425,0.3901,0.35817146,0.1449,0.09332407,0.45155,0.34682575,0.32255,0.16226698,0.17525,0.13352326,0.23855,0.3878391,0.28059999999999996,0.42330173,0.05815000000000001,0.18628126,0.19835,0.43778306,0.05815000000000001,MAX,10,0.09332407,SMM,4,4,7,6,10,2,1,5,3,8,9,11,0
0.1975,0.18231909,0.1638,0.12259216,0.18795,0.23019448,0.2235,0.21470214,0.12435,0.07419306,0.1843,0.11058695,0.12465,0.061005715,0.13055,0.07897304,0.127,0.16587976,0.2999,0.33004007,0.19795000000000001,0.09570496,0.18635000000000002,0.12017169,0.12435,SMM,4,0.061005715,DyS,6,6,4,7,10,5,11,1,8,0,3,2,9
0.5,0.48029968,0.5,0.3323045,0.21975,0.3330623,0.39935000000000004,0.3991858,0.38785000000000003,0.14628571,0.47240000000000004,0.39454708,0.45439999999999997,0.31221873,0.48465,0.1698981,0.5,0.27895612,0.31705,0.34716618,0.0661,0.34418893,0.13545,0.30032504,0.0661,MAX,10,0.14628571,SMM,4,4,7,8,11,6,1,2,10,9,5,3,0
0.39299999999999996,0.21458554,0.32155,0.35023084,0.49924999999999997,0.24442528,0.26195,0.23568183,0.18635000000000002,0.13897835,0.307,0.3082307,0.26505,0.30280805,0.16865,0.14717574,0.28385,0.22783065,0.34945,0.22309004,0.11245000000000001,0.13306785,0.12895,0.3277638,0.11245000000000001,MAX,10,0.13306785,MAX,10,10,4,7,0,9,8,3,2,6,5,11,1
0.0,0.008279212,0.0,0.020772828,0.0209,0.0737044,0.0209,0.029586252,0.02645,0.045338027,0.0,0.09073245,0.0,0.028566608,0.0,0.008202505,0.0,0.075263396,0.0,0.0013932426,0.0,0.021657798,0.0,0.030845933,0.0,CC,0,0.0013932426,MS2,9,9,7,0,1,10,6,3,11,4,2,8,5
0.37205,0.42828903,0.15875,0.34147206,0.5,0.30787766,0.2787,0.26531255,0.16845,0.43124226,0.2003,0.4445158,0.16190000000000002,0.23680876,0.1576,0.48115787,0.15535,0.3718313,0.45715000000000006,0.43350428,0.19435,0.34204757,0.32435,0.46893337,0.15535,MS,8,0.23680876,DyS,6,6,3,2,1,10,8,0,4,9,5,11,7
0.0317,0.12662163,0.01905,0.09301628,0.06105000000000001,0.1625708,0.06305,0.13504912,0.038599999999999995,0.21374278,0.02915,0.27464017,0.022000000000000002,0.08283332,0.0235,0.112650365,0.02825,0.092731155,0.12925,0.22373629,0.01905,0.06859637,0.021949999999999997,0.057866033,0.01905,ACC,1,0.057866033,X,11,11,10,6,8,1,7,0,3,2,4,9,5
0.00885,0.106969506,0.0059499999999999996,0.007806334,0.0291,0.03389961,0.03345,0.100839175,0.0067,0.021273658,0.0149,0.044403978,0.0084,0.034932885,0.00605,0.02659799,0.0059499999999999996,0.0073086405,0.00885,0.14820984,0.0068000000000000005,0.01593783,0.0086,0.013363302,0.0059499999999999996,ACC,1,0.0073086405,MS,8,8,1,11,10,4,7,2,6,5,3,0,9
0.3398,0.19001392,0.25365,0.08713238,0.17215,0.17647861,0.2864,0.22606786,0.18015,0.0979096,0.36719999999999997,0.3095255,0.27835,0.100087784,0.16325,0.08306926,0.17995,0.13700823,0.18830000000000002,0.23504193,0.13685,0.18991262,0.08025,0.18596746,0.08025,X,11,0.08306926,SORD,7,7,1,4,6,8,2,11,10,0,3,9,5
0.42095,0.4011015,0.25875,0.23205343,0.5,0.32469168,0.26495,0.23990037,0.36835,0.08571979,0.0654,0.20993905,0.1765,0.21167904,0.15744999999999998,0.07152604,0.3043,0.2132855,0.5,0.33802143,0.17170000000000002,0.46411306,0.4052,0.32602775,0.0654,HDy,5,0.07152604,SORD,7,7,4,5,6,8,1,3,2,11,9,0,10
0.00955,0.017110925,0.0072499999999999995,0.01170061,0.0165,0.020833338,0.02035,0.034101453,0.00645,0.017529348,0.00845,0.013858745,0.00515,0.0072699348,0.0053,0.00908793,0.00555,0.017232483,0.011699999999999999,0.016148098,0.0083,0.01553548,0.0059,0.009820561,0.00515,DyS,6,0.0072699348,DyS,6,6,7,11,1,5,10,9,0,8,4,2,3
0.4485,0.3624531,0.20375,0.23870157,0.5,0.41765407,0.29164999999999996,0.27434173,0.0765,0.1291512,0.2327,0.38122043,0.08265,0.2104127,0.0787,0.37387618,0.14429999999999998,0.2514298,0.3429,0.20876661,0.09494999999999999,0.41388184,0.0993,0.41372135,0.0765,SMM,4,0.1291512,SMM,4,4,9,6,1,8,3,0,7,5,11,10,2
0.3601,0.3037177,0.11505000000000001,0.18114588,0.48835,0.22169818,0.26844999999999997,0.26216522,0.06865,0.17618394,0.36210000000000003,0.39056498,0.08945,0.13030648,0.05885,0.106117584,0.2969,0.11510875,0.2998,0.3665712,0.18945,0.08881296,0.1253,0.21798119,0.05885,SORD,7,0.08881296,MAX,10,10,7,8,6,4,1,11,2,3,0,9,5
0.0,0.017596507,0.0,0.02802853,0.003,0.019874372,0.003,0.020989021,0.02275,0.013821653,0.01665,0.080322206,0.0,0.014939501,0.0,0.009529444,0.0,0.020905383,0.0,0.02337945,0.0,0.0062725814,0.0,-0.0005711402,0.0,CC,0,-0.0005711402,X,11,11,10,7,4,6,0,2,8,3,9,1,5
0.5,0.47687232,0.5,0.4935265,0.361,0.36091095,0.361,0.38023025,0.17415,0.090778716,0.317,0.26246333,0.317,0.42837554,0.48625,0.09109111,0.5,0.47518173,0.5,0.28012124,0.5,0.09104973,0.5,0.11438327,0.17415,SMM,4,0.090778716,SMM,4,4,10,7,11,5,9,2,3,6,8,0,1
0.5,0.3612806,0.5,0.3427801,0.37884999999999996,0.28807864,0.37884999999999996,0.35303023,0.3578,0.19788827,0.5,0.30655703,0.5,0.26701418,0.5,0.4490676,0.5,0.34843564,0.5,0.43678823,0.5,0.35994846,0.5,0.3674233,0.3578,SMM,4,0.19788827,SMM,4,4,6,2,5,1,8,3,10,0,11,9,7
0.19024999999999997,0.32204056,0.09505000000000001,0.26731217,0.1727,0.24489656,0.21675,0.24077569,0.07755,0.09486779,0.086,0.16519308,0.0776,0.11230242,0.07985,0.115564555,0.07735,0.138142,0.32780000000000004,0.3872309,0.0942,0.19333535,0.09725,0.15159662,0.07735,MS,8,0.09486779,SMM,4,4,6,7,8,11,5,10,3,2,1,0,9
0.22625,0.21360396,0.051550000000000006,0.21052597,0.4239,0.19782989,0.20149999999999998,0.22740483,0.0599,0.12264989,0.048600000000000004,0.098786816,0.04285,0.16591808,0.055999999999999994,0.08842674,0.0575,0.15437196,0.35090000000000005,0.38615862,0.09945,0.13945147,0.09945,0.19159217,0.04285,DyS,6,0.08842674,SORD,7,7,5,4,10,8,6,11,2,1,0,3,9
0.0762,0.2894279,0.08215,0.13294156,0.11939999999999999,0.25218567,0.1431,0.23367427,0.1272,0.13622127,0.08395,0.23284821,0.10305,0.23821455,0.1297,0.14888707,0.09325000000000001,0.28386664,0.301,0.30582237,0.1637,0.20002623,0.22315000000000002,0.053354025,0.0762,CC,0,0.053354025,X,11,11,1,4,7,10,5,3,6,2,8,0,9
0.215,0.30254123,0.1593,0.09026429,0.19690000000000002,0.26824722,0.25105,0.2766726,0.14265,0.10493883,0.1579,0.13721164,0.16005,0.07084174,0.1413,0.06520022,0.15915,0.16495655,0.5,0.35047057,0.1593,0.105594486,0.1593,0.20416567,0.1413,SORD,7,0.06520022,SORD,7,7,6,1,4,10,5,8,11,2,3,0,9
0.42034999999999995,0.48243192,0.233,0.455346,0.08875,0.28299752,0.34299999999999997,0.40668342,0.07339999999999999,0.12561499,0.18760000000000002,0.20947424,0.1091,0.36811712,0.055650000000000005,0.15530406,0.11305,0.46228445,0.24684999999999999,0.4860247,0.059699999999999996,0.27167004,0.06535,0.21152152,0.055650000000000005,SORD,7,0.12561499,SMM,4,4,7,5,11,10,2,6,3,1,8,0,9
