Method,HitRate,Std
Top1,0.8108108108108109,0.3916588309780929
Top3,1.0,0.0
Top5,1.0,0.0
CC,0.17567567567567569,0.38054399568456015
ACC,0.40540540540540543,0.4909703276914851
PACC,0.1891891891891892,0.3916588309780929
PCC,0.06756756756756757,0.25100237325684743
SMM,0.7027027027027027,0.45706850068345306
HDy,0.44594594594594594,0.49706957183106815
DyS,0.7702702702702703,0.42065898422360487
SORD,0.8783783783783784,0.3268482870931845
MS,0.6081081081081081,0.4881727531942822
MAX,0.6081081081081081,0.4881727531942822
X,0.5405405405405406,0.4983537544482642
